source_namespace,source_key,legacy_id,legacy_file,legacy_url,source_classification,wordpress_object_type,wordpress_internal_name,target_candidate_key,proposed_action,decision_status,execution_approved,confidence,source_hash,evidence,notes
sql.productos,sql:productos:1,1,accesspro-fs1000speed.php,https://puertasyserviciosindustriales.com/accesspro-fs1000speed.php,PRODUCT_RECORD,CPT,psi_producto,candidate:product:accesspro-fs1000speed.php,REVIEW,ARCHITECTURE_ONLY,NO,STRONG_INFERENCE,f2cd305c8c98a3409d2a91d180f7917c7107add2700f746d806b35807e180411,docs/migration/product-master.csv#1,MERGE only after approval; no automatic entity deduplication. Multiples PHP relacionados; alias_candidate_files no implica redirect aprobado
sql.productos,sql:productos:2,2,energy-series-with-intellicore-37171-3-4.php,https://puertasyserviciosindustriales.com/energy-series-with-intellicore-37171-3-4.php,PRODUCT_RECORD,CPT,psi_producto,candidate:product:energy-series-with-intellicore-37171-3-4.php,REVIEW,ARCHITECTURE_ONLY,NO,STRONG_INFERENCE,3c13ce363cc92b6c201641975f7b938f22780b3063cf77fbd8e274e35f210b1e,docs/migration/product-master.csv#2,MERGE only after approval; no automatic entity deduplication.
sql.productos,sql:productos:3,3,rampas-de-anden-hidraulicas-kelley.php,https://puertasyserviciosindustriales.com/rampas-de-anden-hidraulicas-kelley.php,PRODUCT_RECORD,CPT,psi_producto,candidate:product:rampas-de-anden-hidraulicas-kelley.php,REVIEW,ARCHITECTURE_ONLY,NO,STRONG_INFERENCE,20c89964caac7086f6727f3d7bd858af4c5d30451d86cf9142586f05e6cc8ed6,docs/migration/product-master.csv#3,MERGE only after approval; no automatic entity deduplication. CONFLICT: SQL categoria 7 Residenciales; pagina/medios Kelley y grid rampa-niveladora apuntan categoria 10; no corregido; Correspondencia no inequivoca: nombre no coincide exactamente
sql.productos,sql:productos:4,4,cortina-serie-625.php,https://puertasyserviciosindustriales.com/cortina-serie-625.php,PRODUCT_RECORD,CPT,psi_producto,candidate:product:cortina-serie-625.php,REVIEW,ARCHITECTURE_ONLY,NO,STRONG_INFERENCE,09ea25a3654ba318269d7af8e099204627a87e034f5133e0a7dbba718bedcf3c,docs/migration/product-master.csv#4,MERGE only after approval; no automatic entity deduplication.
sql.productos,sql:productos:5,5,cortina-en-aluminio-serie-511-521.php,https://puertasyserviciosindustriales.com/cortina-en-aluminio-serie-511-521.php,PRODUCT_RECORD,CPT,psi_producto,candidate:product:cortina-en-aluminio-serie-511-521.php,REVIEW,ARCHITECTURE_ONLY,NO,STRONG_INFERENCE,6f796a57d9f7b8414a728d3e2c49aa84dae19f62a09d9818ad15ccd88a7bb6f8,docs/migration/product-master.csv#5,MERGE only after approval; no automatic entity deduplication.
sql.productos,sql:productos:6,6,coleccion-modern-steel.php,https://puertasyserviciosindustriales.com/coleccion-modern-steel.php,PRODUCT_RECORD,CPT,psi_producto,candidate:product:coleccion-modern-steel.php,REVIEW,ARCHITECTURE_ONLY,NO,STRONG_INFERENCE,a8aae1069112ba416145cfe9128c356ac425ee64635dbb9261c0e6367eb028d4,docs/migration/product-master.csv#6,"MERGE only after approval; no automatic entity deduplication. CONFLICT: marcas candidatas 1,2,3; asignacion SQL no equivale a fabricante verificado"
sql.productos,sql:productos:7,7,cortina-serie-620.php,https://puertasyserviciosindustriales.com/cortina-serie-620.php,PRODUCT_RECORD,CPT,psi_producto,candidate:product:cortina-serie-620.php,REVIEW,ARCHITECTURE_ONLY,NO,STRONG_INFERENCE,ae5192b068ba7c3fedb35b3c869b8a81fdf7592468e3dca92df70cb515f96e6e,docs/migration/product-master.csv#7,MERGE only after approval; no automatic entity deduplication. Multiples PHP relacionados; alias_candidate_files no implica redirect aprobado
sql.productos,sql:productos:8,8,puerta-seccional-de-acero-thermacore-serie-592.php,https://puertasyserviciosindustriales.com/puerta-seccional-de-acero-thermacore-serie-592.php,PRODUCT_RECORD,CPT,psi_producto,candidate:product:puerta-seccional-de-acero-thermacore-serie-592.php,REVIEW,ARCHITECTURE_ONLY,NO,STRONG_INFERENCE,77626bb889397d3a0eb2642e39afffdb69495bd4bc601af51ea298de006b514c,docs/migration/product-master.csv#8,MERGE only after approval; no automatic entity deduplication.
sql.productos,sql:productos:9,9,coleccion-classic.php,https://puertasyserviciosindustriales.com/coleccion-classic.php,PRODUCT_RECORD,CPT,psi_producto,candidate:product:coleccion-classic.php,REVIEW,ARCHITECTURE_ONLY,NO,STRONG_INFERENCE,337aba27ceda506f9e528a6b0fcb15df702607709a0c5f3b564ac07c9ffb3d67,docs/migration/product-master.csv#9,MERGE only after approval; no automatic entity deduplication.
sql.productos,sql:productos:10,10,cortina-serie-600.php,https://puertasyserviciosindustriales.com/cortina-serie-600.php,PRODUCT_RECORD,CPT,psi_producto,candidate:product:cortina-serie-600.php,REVIEW,ARCHITECTURE_ONLY,NO,STRONG_INFERENCE,219ce82b9fe1b7c2866c4a7b21a8e6ed7b2a8f33ac6405d49fc52f3629d02e39,docs/migration/product-master.csv#10,MERGE only after approval; no automatic entity deduplication.
