entity_key,legacy_file,media_validation,notes
asset:fichas/Clopay-3720-07.pdf,fichas/Clopay-3720-07.pdf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fichas/CMDC-0524SP-14-1.pdf,fichas/CMDC-0524SP-14-1.pdf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fichas/CMDC-3717-3718-11.pdf,fichas/CMDC-3717-3718-11.pdf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fichas/commercial-aluminum-door-systems-brochure.pdf,fichas/commercial-aluminum-door-systems-brochure.pdf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fichas/Cortina-serie-610-620.pdf,fichas/Cortina-serie-610-620.pdf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fichas/Icaro-smart-AC-Aes.pdf,fichas/Icaro-smart-AC-Aes.pdf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fichas/Kelley-Hydraulic-Dock-Leveler-Brochure_web.pdf,fichas/Kelley-Hydraulic-Dock-Leveler-Brochure_web.pdf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fichas/lisos.pdf,fichas/lisos.pdf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fichas/moovi50rm.pdf,fichas/moovi50rm.pdf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fichas/puerta-424.pdf,fichas/puerta-424.pdf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fichas/puerta-430.pdf,fichas/puerta-430.pdf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fichas/puerta-521.pdf,fichas/puerta-521.pdf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fichas/puerta-seccional-418.pdf,fichas/puerta-seccional-418.pdf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fichas/puerta-seccional-422.pdf,fichas/puerta-seccional-422.pdf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fichas/puerta-seccional-426.pdf,fichas/puerta-seccional-426.pdf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fichas/puerta-seccional-432.pdf,fichas/puerta-seccional-432.pdf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fichas/puerta-thermacore-593.pdf,fichas/puerta-thermacore-593.pdf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fichas/puerta-thermacore-594.pdf,fichas/puerta-thermacore-594.pdf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fichas/puerta-thermacore-595.pdf,fichas/puerta-thermacore-595.pdf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fichas/rhx-commercial-operator-brochure.pdf,fichas/rhx-commercial-operator-brochure.pdf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fichas/rolling-steel-doors-610-620-brochure.pdf,fichas/rolling-steel-doors-610-620-brochure.pdf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fichas/StrongArm_HVR303_Brochure_Spanish.pdf,fichas/StrongArm_HVR303_Brochure_Spanish.pdf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fonts/bootstrap-icons.woff,fonts/bootstrap-icons.woff,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fonts/bootstrap-icons.woff2,fonts/bootstrap-icons.woff2,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fonts/fa-brands-400.ttf,fonts/fa-brands-400.ttf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fonts/fa-brands-400.woff2,fonts/fa-brands-400.woff2,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fonts/fa-regular-400.ttf,fonts/fa-regular-400.ttf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fonts/fa-regular-400.woff2,fonts/fa-regular-400.woff2,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fonts/fa-solid-900.ttf,fonts/fa-solid-900.ttf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fonts/fa-solid-900.woff2,fonts/fa-solid-900.woff2,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fonts/fa-v4compatibility.ttf,fonts/fa-v4compatibility.ttf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fonts/fa-v4compatibility.woff2,fonts/fa-v4compatibility.woff2,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fonts/feather.eot,fonts/feather.eot,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fonts/feather.svg,fonts/feather.svg,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fonts/feather.ttf,fonts/feather.ttf,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fonts/feather.woff,fonts/feather.woff,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
asset:fonts/icomoon.eot,fonts/icomoon.eot,REVIEW_TYPE_LIMIT_OR_HASH,Uso documental no equivale a aprobación de propósito/identidad de medios.
