source_type,normalized_reason_code,evidence_level,proposed_action,proposed_rule_id,risk,human_decision_required,row_count
media,R10_MEDIA_DERIVATIVE,CONFIRMED,SKIP,R-M02,LOW,,561
media,R11_MEDIA_INFRASTRUCTURE,CONFIRMED,SKIP,R-M03,LOW,,285
media,R09_MEDIA_OWNER_PENDING,STRONG,KEEP_REVIEW,R-M04b,MEDIUM,D02,276
media,R09_MEDIA_OWNER_PENDING,CONFIRMED,KEEP_REVIEW,R-M01b,MEDIUM,D02,190
page,R07_SOURCE_OWNERSHIP_UNDEFINED,CONFIRMED,SKIP,R-G01,MEDIUM,,164
product,R02_ENTITY_DUPLICATE_CANDIDATE,STRONG,KEEP_REVIEW,R-P02,HIGH,D02,112
media,R12_MEDIA_PURPOSE_UNPROVEN,NONE,KEEP_REVIEW,R-M07,MEDIUM,D09,89
media,R09_MEDIA_OWNER_PENDING,CONFIRMED,MIGRATE,R-M04,LOW,,42
media,R09_MEDIA_OWNER_PENDING,CONFIRMED,MIGRATE,R-M05,LOW,,38
media,R09_MEDIA_OWNER_PENDING,CONFIRMED,MIGRATE,R-M01,LOW,,35
category,R01_AUTHORIZATION_ONLY,STRONG,MIGRATE,R-T01,LOW,,33
static_product,R08_STATIC_ONLY_ENTITY,MODERATE,KEEP_REVIEW,R-S01,MEDIUM,D02,31
product,R01_AUTHORIZATION_ONLY,STRONG,MIGRATE,R-P01,LOW,,21
product,R04_EMPTY_OR_TEST_RECORD,CONFIRMED,SKIP,R-P03,MEDIUM,D05,15
product,R02_ENTITY_DUPLICATE_CANDIDATE,STRONG,KEEP_REVIEW,R-P02,HIGH,D02+D03,13
brand,R01_AUTHORIZATION_ONLY,CONFIRMED,MIGRATE,R-T03,LOW,,11
page,R01_AUTHORIZATION_ONLY,STRONG,MIGRATE,R-G02,MEDIUM,,9
page,R01_AUTHORIZATION_ONLY,STRONG,MIGRATE,R-G02,LOW,,5
missing_media,R14_MISSING_RESOURCE,NONE,KEEP_REVIEW,R-X01,HIGH,D08,4
category,R06_CATEGORY_HIERARCHY_CONFLICT,MODERATE,KEEP_REVIEW,R-T02,HIGH,D06,3
media,R13_MEDIA_TYPE_UNSUPPORTED,CONFIRMED,KEEP_REVIEW,R-M06,MEDIUM,,3
media,R13_MEDIA_TYPE_UNSUPPORTED,MODERATE,KEEP_REVIEW,R-M06,MEDIUM,,3
page,R07_SOURCE_OWNERSHIP_UNDEFINED,MODERATE,KEEP_REVIEW,R-G03,MEDIUM,D12,3
media,R09_MEDIA_OWNER_PENDING,CONFIRMED,KEEP_REVIEW,R-M05b,MEDIUM,D06,1
product,R02_ENTITY_DUPLICATE_CANDIDATE,STRONG,KEEP_REVIEW,R-P02,HIGH,D02+D06,1
product,R05_BRAND_ATTRIBUTION_CONFLICT,STRONG,KEEP_REVIEW,R-P05,HIGH,D03,1
