source_type,source_key,entity_group,reason,current_evidence,dependencies,related_human_decision,question_id,notes
media,asset:fichas/Abrigo-de-anden-BG400.pdf,page:shelter-abrigo-estacionario-blue-giant.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:shelter-abrigo-estacionario-blue-giant.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/Alumina-Technical-Specifications-15.pdf,page:kronos-puertas-rapidas-de-sectores-modulares-autorreparable.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:kronos-puertas-rapidas-de-sectores-modulares-autorreparable.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/BGDSHS_Brochure_Sept2014_WEB.pdf,page:shelter-abrigo-estacionario-blue-giant.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:shelter-abrigo-estacionario-blue-giant.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/CONTRA_EXPLOSION.pdf,page:puerta-contra-explosion.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:puerta-contra-explosion.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/CORTINA-EUROPEA.pdf,page:cortina-europea.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:cortina-europea.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/CORTINA-PLANA.pdf,page:cortina-plana.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:cortina-plana.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/Fast-Seal_LIT020520_ES-2.pdf,page:fast-seal-high-performance-door.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:fast-seal-high-performance-door.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/Folleto-de-Cortina-Enrollable-Wayne-Dalton-Firestar-700-2.pdf,page:fire-rated-doors-firestar-models-700-700c.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:fire-rated-doors-firestar-models-700-700c.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/INFRACA-RAPIDA-ENROLLABLE.pdf,page:rapida-enrollable-industrial.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:rapida-enrollable-industrial.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/Kelley-Vehicle-Restraint-Brochure_web.pdf,page:star4-vehicle-restraint.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:star4-vehicle-restraint.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/Lift-Master-H-Sell-Sheet-Spanish.pdf,page:lift-master-mod-h.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:lift-master-mod-h.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/M-28R.pdf,page:energy-series-with-intellicore-37171-3-4.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:energy-series-with-intellicore-37171-3-4.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/Minidock.pdf,page:labio-de-elevacion-mecanico-dockman.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:labio-de-elevacion-mecanico-dockman.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/Operador-RHX-Folleto-comercial-para-cortina.pdf,page:operador-comercial-rhx.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:operador-comercial-rhx.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/PUERTAS-INDUSTRIALES-DOCKMAN-1.pdf,page:puertas-industriales-dockman.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:puertas-industriales-dockman.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/Predadoor_NXT_LIT020720_ES.pdf,page:predadoor-nxt-door.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:predadoor-nxt-door.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/Puerta-Blindada1.pdf,page:puertas-blindadas.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:puertas-blindadas.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/Puerta-Estandar-Reforzada-Door-Lock.pdf,page:puerta-estandar-reforzada.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:puerta-estandar-reforzada.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/Puerta-Holandesa-Door-Lock.pdf,page:puerta-holandesa.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:puerta-holandesa.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/Puerta-Rayos-X-fabricación.pdf,page:puertas-contra-rayos-x.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:puertas-contra-rayos-x.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/Puerta-Standar-Folleto.pdf,page:puerta-estandar.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:puerta-estandar.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/Puerta-Standar-Reforzada-folleto.pdf,page:puerta-estandar-reforzada.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:puerta-estandar-reforzada.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/Puerta-incendio-Door-Loock.pdf,page:puertas-contra-incendio.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:puertas-contra-incendio.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/Puerta_Estandar_Door-Lock.pdf,page:puerta-estandar.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:puerta-estandar.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/Puertas-Rayosx-folleto.pdf,page:puertas-contra-rayos-x.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:puertas-contra-rayos-x.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/Puertas-contra-incendio.pdf,page:puertas-contra-incendio.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:puertas-contra-incendio.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/RSIDENCIAL-SERIE-PREMIUM.pdf,page:coleccion-classic.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:coleccion-classic.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/Rampas-Hidraulicas.pdf,page:rampas-de-anden-hidraulicas.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:rampas-de-anden-hidraulicas.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/Rampas-mecánicas.pdf,page:rampas-de-anden-mecanicas.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:rampas-de-anden-mecanicas.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
media,asset:fichas/Retenedor-de-vehiculos-automatico.pdf,page:retenedores-de-vehiculos-automatico.php,R09_MEDIA_OWNER_PENDING,PUBLIC_SOURCE desde 1 pagina(s) ['PRODUCT_PAGE'],page:retenedores-de-vehiculos-automatico.php,H3-D02c-PAGE-OWNERSHIP,Q01,Medio referenciado por pagina cuyo propietario final no esta decidido.
