group_id,group_class,product_ids,review_rows_product,rows_unlocked_total,names,php_files,urls,category_ids,category_names,brand_ids,brand_names,n_images,n_pdfs,diverging_fields,known_conflict_ids,proposed_alternatives,evidence
cortina-serie-625.php,IDENTITY_EQUIVALENT,4|87,2,2,Cortina serie 625,cortina-serie-625.php,https://puertasyserviciosindustriales.com/cortina-serie-625.php,14,Cortinas enrollables,1,Overhead Door,1,1,db_image_ids|db_pdf_ids,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 1/1; pdfs comunes 1/1; hashes PDF distintos 1; duplicados binarios imagen 0
cortina-serie-620.php,IDENTITY_EQUIVALENT,7|91,2,2,Cortina serie 620,cortina-serie-620.php,https://puertasyserviciosindustriales.com/cortina-serie-620.php,14,Cortinas enrollables,1,Overhead Door,2,1,db_image_ids|db_pdf_ids,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 1/2; pdfs comunes 1/1; hashes PDF distintos 1; duplicados binarios imagen 0
coleccion-classic.php,IDENTITY_EQUIVALENT,9|108,2,2,ColecciÃ³n Classicâ„¢ â€“ Serie Premium,coleccion-classic.php,https://puertasyserviciosindustriales.com/coleccion-classic.php,36,Puertas residenciales,1,Overhead Door,6,1,db_image_ids|db_pdf_ids,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 4/6; pdfs comunes 1/1; hashes PDF distintos 1; duplicados binarios imagen 0
cortina-serie-630.php,IDENTITY_EQUIVALENT,11|94,2,2,Cortina serie 630-631-634-635,cortina-serie-630.php,https://puertasyserviciosindustriales.com/cortina-serie-630.php,14,Cortinas enrollables,1,Overhead Door,1,1,db_image_ids|db_pdf_ids,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 1/1; pdfs comunes 1/1; hashes PDF distintos 1; duplicados binarios imagen 0
operador-comercial-rhx.php,IDENTITY_EQUIVALENT,12|82,2,2,Operador comercial RHX,operador-comercial-rhx.php,https://puertasyserviciosindustriales.com/operador-comercial-rhx.php,13,Operadores para puertas seccionales y cortinas enrollables,1,Overhead Door,2,1,db_image_ids|db_pdf_ids,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 0/2; pdfs comunes 1/1; hashes PDF distintos 1; duplicados binarios imagen 0
fire-rated-doors-firestar-models-700-700c.php,IDENTITY_EQUIVALENT,13|99,2,2,Fire Rated Doors FireStarÂ® Models 700 & 700c,fire-rated-doors-firestar-models-700-700c.php,https://puertasyserviciosindustriales.com/fire-rated-doors-firestar-models-700-700c.php,14,Cortinas enrollables,2,Wayne Dalton,1,1,db_image_ids|db_pdf_ids,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 1/1; pdfs comunes 1/1; hashes PDF distintos 1; duplicados binarios imagen 0
puertas-seccionales-de-acero-modelo-2415.php,IDENTITY_EQUIVALENT,15|60,2,2,Puertas seccionales de acero modelo 2415,puertas-seccionales-de-acero-modelo-2415.php,https://puertasyserviciosindustriales.com/puertas-seccionales-de-acero-modelo-2415.php,8,Puertas Seccionales,2,Wayne Dalton,2,1,db_image_ids|db_pdf_ids,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 2/2; pdfs comunes 1/1; hashes PDF distintos 1; duplicados binarios imagen 0
puerta-de-acero-acanalado-modelos-524.php,IDENTITY_EQUIVALENT,18|58,2,2,"Puertas de acero acanalado modelos 524, 524V, 524S",puerta-de-acero-acanalado-modelos-524.php,https://puertasyserviciosindustriales.com/puerta-de-acero-acanalado-modelos-524.php,8,Puertas Seccionales,3,Clopay,3,1,db_image_ids|db_pdf_ids,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 1/3; pdfs comunes 1/1; hashes PDF distintos 1; duplicados binarios imagen 0
energy-series-with-intellicore-3720-3724-3722.php,IDENTITY_EQUIVALENT,19|61,2,2,ENERGY SERIES WITH INTELLICOREÂ® 3720 /3724 / 3722,energy-series-with-intellicore-3720-3724-3722.php,https://puertasyserviciosindustriales.com/energy-series-with-intellicore-3720-3724-3722.php,8,Puertas Seccionales,3,Clopay,3,1,db_image_ids|db_pdf_ids|name,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 1/3; pdfs comunes 1/1; hashes PDF distintos 1; duplicados binarios imagen 0
shelter-abrigo-estacionario-blue-giant.php,IDENTITY_EQUIVALENT,21|147,2,2,SHELTER ABRIGO ESTACIONARIO Blue Giant,shelter-abrigo-estacionario-blue-giant.php,https://puertasyserviciosindustriales.com/shelter-abrigo-estacionario-blue-giant.php,23,Sellos para Anden,4,Blue Giant,2,2,db_image_ids|db_pdf_ids,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 0/2; pdfs comunes 2/2; hashes PDF distintos 2; duplicados binarios imagen 0
