group_key,legacy_product_ids,winner_id,winner_fecha,loser_ids,status,category_id,brand_id,image_union_count,pdf_union_count,featured_image,notes
accesorios.php,27|138,27,2025-10-22,138,MERGED,category:20,brand:6,3,1,asset:images/accesorios.png,
coleccion-classic.php,9|108,9,2025-10-20,108,MERGED,category:36,brand:1,7,1,asset:images/Cuadros_cortos_y_largos.png,
cortina-serie-620.php,7|91,7,2025-10-20,91,MERGED,category:14,brand:1,3,1,asset:images/cortina-620.jpg,
cortina-serie-625.php,4|87,4,2025-10-20,87,MERGED,category:14,brand:1,2,1,asset:images/rolling-service-door-625-wide.jpg,
cortina-serie-630.php,11|94,11,2025-10-20,94,MERGED,category:14,brand:1,2,1,asset:images/fire-rated-door-630.jpg,
energy-series-with-intellicore-3720-3724-3722.php,19|61,19,2025-10-20,61,MERGED,category:8,brand:3,4,1,asset:images/energy2.jpg,
fire-rated-doors-firestar-models-700-700c.php,13|99,13,2025-10-20,99,MERGED,category:14,brand:2,3,1,asset:images/fire-rated.jpg,
kronos-puertas-rapidas-de-sectores-modulares-autorreparable.php,41|106,41,2025-10-22,106,MERGED,category:17,brand:9,2,1,asset:images/alumina-1.jpg,
operador-comercial-rhx.php,12|82,12,2025-10-20,82,MERGED,category:13,brand:1,3,1,asset:images/rhx-operator.jpg,
phobos-n-piston-electromecanico.php,46|111,46,2025-10-23,111,MERGED,category:38,brand:12,3,1,asset:images/phob.png,
predadoor-nxt-door.php,37|102,37,2025-10-22,102,MERGED,category:17,brand:7,3,1,asset:images/preda.jpg,
puerta-contra-explosion.php,26|117,26,2025-10-22,117,MERGED,category:31,brand:6,3,1,asset:images/explo.png,
puerta-de-acero-acanalado-modelos-524.php,18|58,18,2025-10-20,58,MERGED,category:8,brand:3,4,1,asset:images/acanalada.jpg,
puertas-contra-rayos-x.php,30|115,30,2025-10-22,115,MERGED,category:34,brand:6,3,2,asset:images/2012-10-11_1235.png,
puertas-industriales-dockman.php,50|59,50,2025-10-23,59,KEEP_REVIEW,,,,,,"Maestro REVIEW: identidad, duplicado o excepción editorial; no fusionar ni descartar automáticamente."
puertas-seccionales-de-acero-modelo-2415.php,15|60,15,2025-10-20,60,MERGED,category:8,brand:2,3,1,asset:images/sectional-steel-door-model-2415.jpg,
rampa-niveladora-mecanica-blue-giant.php,23|140,23,2025-10-20,140,MERGED,category:10,brand:4,3,1,asset:images/M_DockLeveler.png,
rampas-de-anden-hidraulicas.php,53|141,53,2025-10-23,141,MERGED,category:10,brand:10,3,1,asset:images/rampah.jpg,
rampas-de-anden-mecanicas.php,56|142,56,2025-10-23,142,MERGED,category:10,brand:10,4,1,asset:images/2018-04-04_1153-300x234.png,
rapida-enrollable-industrial.php,38|103,38,2025-10-22,103,MERGED,category:17,brand:8,5,1,asset:images/puerta-infraca.jpg,
retenedor-de-vehiculos.php,22|144,22,2025-10-20,144,MERGED,category:22,brand:4,2,1,asset:images/retenedor.jpg,
sellos-de-anden.php,52|149,52,2025-10-23,149,MERGED,category:23,brand:10,4,1,asset:images/sello.png,
serie-x130-motor-para-cortina-oculto.php,45|83,45,2025-10-23,83,MERGED,category:13,brand:12,3,1,asset:images/seriex130.jpg,
shelter-abrigo-estacionario-blue-giant.php,21|147,21,2025-10-20,147,MERGED,category:23,brand:4,3,2,asset:images/Stationary-shelter.png,
star4-vehicle-restraint.php,25|145,25,2025-10-20,145,MERGED,category:22,brand:5,2,1,asset:images/star4.jpg,
vertigo.php,42|100,42,2025-10-22,100,MERGED,category:14,brand:9,1,0,asset:images/porte-rapide-vertigo-500x500.jpg,
