canonical_entity,field,selected_value_source,other_sources,conflict,decision,notes
sql:productos:1,name/title,1,109|110|114,NO,"title_source_id documentado en editorial-decisions.json (o ganador natural si no hay preferencia)",
sql:productos:1,categories,1|109|110|114,,"NO (union deliberada)","union de category_id de TODOS los miembros","Q03-GLOBAL: union real; otros: union de un solo valor (sin divergencia)"
sql:productos:1,brand,brand:1,1|109|110|114,NO,ASSIGNED,
sql:productos:1,description,"(ninguno, todas vacias o en conflicto)",1|109|110|114,YES,CONFLICT,"No sintetizado; ver candidatos en el propio decision.field_provenance del plan"
sql:productos:10,name/title,10,93|127,NO,"title_source_id documentado en editorial-decisions.json (o ganador natural si no hay preferencia)",
sql:productos:10,categories,10|93|127,,"NO (union deliberada)","union de category_id de TODOS los miembros","Q03-GLOBAL: union real; otros: union de un solo valor (sin divergencia)"
sql:productos:10,brand,brand:1,10|93|127,NO,ASSIGNED,
sql:productos:10,description,"(ninguno, todas vacias o en conflicto)",10|93|127,YES,CONFLICT,"No sintetizado; ver candidatos en el propio decision.field_provenance del plan"
sql:productos:28,name/title,28,118|129,NO,"title_source_id documentado en editorial-decisions.json (o ganador natural si no hay preferencia)",
sql:productos:28,categories,28|118|129,,"NO (union deliberada)","union de category_id de TODOS los miembros","Q03-GLOBAL: union real; otros: union de un solo valor (sin divergencia)"
sql:productos:28,brand,brand:6,28|118|129,NO,ASSIGNED,
sql:productos:28,description,"(ninguno, todas vacias o en conflicto)",28|118|129,YES,CONFLICT,"No sintetizado; ver candidatos en el propio decision.field_provenance del plan"
sql:productos:33,name/title,33,122|133,NO,"title_source_id documentado en editorial-decisions.json (o ganador natural si no hay preferencia)",
sql:productos:33,categories,33|122|133,,"NO (union deliberada)","union de category_id de TODOS los miembros","Q03-GLOBAL: union real; otros: union de un solo valor (sin divergencia)"
sql:productos:33,brand,brand:6,33|122|133,NO,ASSIGNED,
sql:productos:33,description,33,122|133,NO,AGREED,
sql:productos:35,name/title,35,121|134,NO,"title_source_id documentado en editorial-decisions.json (o ganador natural si no hay preferencia)",
sql:productos:35,categories,35|121|134,,"NO (union deliberada)","union de category_id de TODOS los miembros","Q03-GLOBAL: union real; otros: union de un solo valor (sin divergencia)"
sql:productos:35,brand,brand:6,35|121|134,NO,ASSIGNED,
sql:productos:35,description,35,121|134,NO,AGREED,
sql:productos:44,name/title,44,123|125|135,NO,"title_source_id documentado en editorial-decisions.json (o ganador natural si no hay preferencia)",
sql:productos:44,categories,44|123|125|135,,"NO (union deliberada)","union de category_id de TODOS los miembros","Q03-GLOBAL: union real; otros: union de un solo valor (sin divergencia)"
sql:productos:44,brand,(ninguna),44|123|125|135,"YES (Q09 pendiente)",BRAND_UNRESOLVED_Q09,BRAND_UNRESOLVED_Q09
sql:productos:44,description,44,123|125|135,NO,AGREED,
sql:productos:47,name/title,47,80|113,NO,"title_source_id documentado en editorial-decisions.json (o ganador natural si no hay preferencia)",
