legacy_product_id,name_empty_or_prueba,entity_action,linked_media_path,media_action,media_exclusive_to_q06
151,EMPTY,SKIP,system/files/images/productos/3795fc76a4c3c0133fecce131dcac2542c18e980,SKIP,YES
152,EMPTY,SKIP,system/files/images/productos/b1aece40383b55bb60c34675e96936a07a304268,SKIP,YES
153,EMPTY,SKIP,system/files/images/productos/32ee3a4bd87bcb11c182afd1bb63d04631a18b8a,SKIP,YES
154,EMPTY,SKIP,system/files/images/productos/8a444bdf198edcb878138128915ef5966b27559a,SKIP,YES
155,EMPTY,SKIP,,,
156,EMPTY,SKIP,system/files/images/productos/296bfcce088781d7247a01dc45c2b44244878af9,SKIP,YES
157,EMPTY,SKIP,system/files/images/productos/2568a13a5a000ac720a6dfe2cf23e90c7398976a,SKIP,YES
158,EMPTY,SKIP,system/files/images/productos/27f6e809c1bd243a04dd346479f837e8105a9cf7,SKIP,YES
159,EMPTY,SKIP,system/files/images/productos/a7afbb92480eaa329c6e5032085c3a6495f1db7f,SKIP,YES
160,EMPTY,SKIP,system/files/images/productos/36b626d618a50efadb7b2e149ea7093080479e4e,SKIP,YES
161,EMPTY,SKIP,system/files/images/productos/b3ab81b2856fe851e23bab63e63bacbbb82d6639,SKIP,YES
162,EMPTY,SKIP,system/files/images/productos/2a1ddc16f0e9964ef7207a38e26bea3a92b99aab,SKIP,YES
163,EMPTY,SKIP,system/files/images/productos/c88aa52b638190e7584c2412e8722e25c1723550,SKIP,YES
164,EMPTY,SKIP,system/files/images/productos/245880bebb5e7028014543ebd11b2d787992bb25,SKIP,YES
165,PRUEBA,SKIP,system/files/images/productos/e23c3408026200967f66d50d6e99ac37594f7556,SKIP,YES
165,PRUEBA,SKIP,system/files/images/productos/6113e892233d01eab25b3262a5ee24c29f8d1387,SKIP,YES
165,PRUEBA,SKIP,system/files/images/productos/800c352920fab91fa561da8cbc0cda7af293ddbf,SKIP,YES
