source_type,source_key,rule_id,old_action,new_action,evidence,result
brand,brand:1,R-T03,"UNCHANGED (pre-existing manual/subset decision)",UNCHANGED,"brand-master.csv:1 legacy_page=overhead-door.php logo_evidence=marcas.php:34","N/A: already resolved by a manual/subset decision, independent of this policy layer (policy proposal coincides but did not decide)"
brand,brand:10,R-T03,REVIEW,CREATE,"brand-master.csv:10 legacy_page=dockman.php logo_evidence=marcas.php:115","APPLIED (dry run only; not executed)"
brand,brand:11,R-T03,REVIEW,CREATE,"brand-master.csv:11 legacy_page=lift-master.php logo_evidence=marcas.php:124","APPLIED (dry run only; not executed)"
brand,brand:12,R-T03,REVIEW,CREATE,"brand-master.csv:12 legacy_page=bft.php logo_evidence=marcas.php:133","APPLIED (dry run only; not executed)"
brand,brand:2,R-T03,REVIEW,CREATE,"brand-master.csv:2 legacy_page=wayne-dalton.php logo_evidence=marcas.php:43","APPLIED (dry run only; not executed)"
brand,brand:3,R-T03,REVIEW,CREATE,"brand-master.csv:3 legacy_page=clopay.php logo_evidence=marcas.php:52","APPLIED (dry run only; not executed)"
brand,brand:4,R-T03,REVIEW,CREATE,"brand-master.csv:4 legacy_page=blue-giant.php logo_evidence=marcas.php:61","APPLIED (dry run only; not executed)"
brand,brand:5,R-T03,REVIEW,CREATE,"brand-master.csv:5 legacy_page=kelley.php logo_evidence=marcas.php:70","APPLIED (dry run only; not executed)"
brand,brand:6,R-T03,REVIEW,CREATE,"brand-master.csv:6 legacy_page=doorlock.php logo_evidence=marcas.php:79","APPLIED (dry run only; not executed)"
brand,brand:7,R-T03,REVIEW,CREATE,"brand-master.csv:7 legacy_page=rytec.php logo_evidence=marcas.php:88","APPLIED (dry run only; not executed)"
brand,brand:8,R-T03,REVIEW,CREATE,"brand-master.csv:8 legacy_page=infraca-quality-doors.php logo_evidence=marcas.php:97","APPLIED (dry run only; not executed)"
brand,brand:9,R-T03,REVIEW,CREATE,"brand-master.csv:9 legacy_page=glg-porte-industriali.php logo_evidence=marcas.php:106","APPLIED (dry run only; not executed)"
category,category:1,R-T01,"UNCHANGED (pre-existing manual/subset decision)",UNCHANGED,"category-master.csv:1 sql_parent_confidence=CONFIRMED parent_legacy_id=(root)","N/A: already resolved by a manual/subset decision, independent of this policy layer (policy proposal coincides but did not decide)"
category,category:10,R-T01,REVIEW,CREATE,"category-master.csv:10 sql_parent_confidence=CONFIRMED parent_legacy_id=3","APPLIED (dry run only; not executed)"
category,category:11,R-T01,REVIEW,CREATE,"category-master.csv:11 sql_parent_confidence=CONFIRMED parent_legacy_id=1","APPLIED (dry run only; not executed)"
category,category:12,R-T01,REVIEW,CREATE,"category-master.csv:12 sql_parent_confidence=CONFIRMED parent_legacy_id=1","APPLIED (dry run only; not executed)"
category,category:13,R-T01,REVIEW,CREATE,"category-master.csv:13 sql_parent_confidence=CONFIRMED parent_legacy_id=1","APPLIED (dry run only; not executed)"
category,category:14,R-T01,REVIEW,CREATE,"category-master.csv:14 sql_parent_confidence=CONFIRMED parent_legacy_id=1","APPLIED (dry run only; not executed)"
category,category:16,R-T01,REVIEW,CREATE,"category-master.csv:16 sql_parent_confidence=CONFIRMED parent_legacy_id=1","APPLIED (dry run only; not executed)"
category,category:17,R-T01,REVIEW,CREATE,"category-master.csv:17 sql_parent_confidence=CONFIRMED parent_legacy_id=1","APPLIED (dry run only; not executed)"
category,category:18,R-T01,REVIEW,CREATE,"category-master.csv:18 sql_parent_confidence=CONFIRMED parent_legacy_id=2","APPLIED (dry run only; not executed)"
category,category:19,R-T01,REVIEW,CREATE,"category-master.csv:19 sql_parent_confidence=CONFIRMED parent_legacy_id=2","APPLIED (dry run only; not executed)"
category,category:2,R-T01,REVIEW,CREATE,"category-master.csv:2 sql_parent_confidence=CONFIRMED parent_legacy_id=(root)","APPLIED (dry run only; not executed)"
category,category:20,R-T01,REVIEW,CREATE,"category-master.csv:20 sql_parent_confidence=CONFIRMED parent_legacy_id=2","APPLIED (dry run only; not executed)"
category,category:21,R-T01,REVIEW,CREATE,"category-master.csv:21 sql_parent_confidence=CONFIRMED parent_legacy_id=3","APPLIED (dry run only; not executed)"
category,category:22,R-T01,REVIEW,CREATE,"category-master.csv:22 sql_parent_confidence=CONFIRMED parent_legacy_id=3","APPLIED (dry run only; not executed)"
category,category:23,R-T01,REVIEW,CREATE,"category-master.csv:23 sql_parent_confidence=CONFIRMED parent_legacy_id=3","APPLIED (dry run only; not executed)"
category,category:24,R-T01,REVIEW,CREATE,"category-master.csv:24 sql_parent_confidence=CONFIRMED parent_legacy_id=3","APPLIED (dry run only; not executed)"
category,category:27,R-T01,REVIEW,CREATE,"category-master.csv:27 sql_parent_confidence=CONFIRMED parent_legacy_id=4","APPLIED (dry run only; not executed)"
category,category:28,R-T01,REVIEW,CREATE,"category-master.csv:28 sql_parent_confidence=CONFIRMED parent_legacy_id=4","APPLIED (dry run only; not executed)"
category,category:29,R-T01,REVIEW,CREATE,"category-master.csv:29 sql_parent_confidence=CONFIRMED parent_legacy_id=4","APPLIED (dry run only; not executed)"
category,category:3,R-T01,REVIEW,CREATE,"category-master.csv:3 sql_parent_confidence=CONFIRMED parent_legacy_id=(root)","APPLIED (dry run only; not executed)"
category,category:30,R-T01,REVIEW,CREATE,"category-master.csv:30 sql_parent_confidence=CONFIRMED parent_legacy_id=4","APPLIED (dry run only; not executed)"
category,category:31,R-T01,REVIEW,CREATE,"category-master.csv:31 sql_parent_confidence=CONFIRMED parent_legacy_id=5","APPLIED (dry run only; not executed)"
category,category:32,R-T01,REVIEW,CREATE,"category-master.csv:32 sql_parent_confidence=CONFIRMED parent_legacy_id=5","APPLIED (dry run only; not executed)"
category,category:34,R-T01,REVIEW,CREATE,"category-master.csv:34 sql_parent_confidence=CONFIRMED parent_legacy_id=6","APPLIED (dry run only; not executed)"
category,category:35,R-T01,REVIEW,CREATE,"category-master.csv:35 sql_parent_confidence=CONFIRMED parent_legacy_id=6","APPLIED (dry run only; not executed)"
category,category:36,R-T01,REVIEW,CREATE,"category-master.csv:36 sql_parent_confidence=CONFIRMED parent_legacy_id=7","APPLIED (dry run only; not executed)"
category,category:37,R-T01,REVIEW,CREATE,"category-master.csv:37 sql_parent_confidence=CONFIRMED parent_legacy_id=7","APPLIED (dry run only; not executed)"
category,category:38,R-T01,REVIEW,CREATE,"category-master.csv:38 sql_parent_confidence=CONFIRMED parent_legacy_id=7","APPLIED (dry run only; not executed)"
category,category:39,R-T01,REVIEW,CREATE,"category-master.csv:39 sql_parent_confidence=CONFIRMED parent_legacy_id=7","APPLIED (dry run only; not executed)"
category,category:4,R-T01,REVIEW,CREATE,"category-master.csv:4 sql_parent_confidence=CONFIRMED parent_legacy_id=(root)","APPLIED (dry run only; not executed)"
category,category:5,R-T01,REVIEW,CREATE,"category-master.csv:5 sql_parent_confidence=CONFIRMED parent_legacy_id=(root)","APPLIED (dry run only; not executed)"
category,category:6,R-T01,REVIEW,CREATE,"category-master.csv:6 sql_parent_confidence=CONFIRMED parent_legacy_id=(root)","APPLIED (dry run only; not executed)"
category,category:7,R-T01,REVIEW,CREATE,"category-master.csv:7 sql_parent_confidence=CONFIRMED parent_legacy_id=(root)","APPLIED (dry run only; not executed)"
category,category:8,R-T01,"UNCHANGED (pre-existing manual/subset decision)",UNCHANGED,"category-master.csv:8 sql_parent_confidence=CONFIRMED parent_legacy_id=1","N/A: already resolved by a manual/subset decision, independent of this policy layer (policy proposal coincides but did not decide)"
category,category:9,R-T01,REVIEW,CREATE,"category-master.csv:9 sql_parent_confidence=CONFIRMED parent_legacy_id=2","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/0026e2b69ea6b2f5307ae424596371c7610f2fd8,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/0026e2b69ea6b2f5307ae424596371c7610f2fd8 products=34","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/041a0efde5e5212d3aae023a37bd508f96f03295,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/041a0efde5e5212d3aae023a37bd508f96f03295 products=146","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/06d1ac8df445fdad9cabf6a632e3c4363258b6ee,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/06d1ac8df445fdad9cabf6a632e3c4363258b6ee products=86","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/0a1a154b062113c629a1f2b1c58638408479ba39,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/0a1a154b062113c629a1f2b1c58638408479ba39 products=92","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/0e8c380b91a59986427b2a5f2b70fd16a2980099,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/0e8c380b91a59986427b2a5f2b70fd16a2980099 products=68","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/13e3c3675402a845e35768698348384af696499f,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/13e3c3675402a845e35768698348384af696499f products=146","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/20ec2b66b713306ac6d2d213bcce8d6810712eef,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/20ec2b66b713306ac6d2d213bcce8d6810712eef products=86","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/23d0316980d95f4f7ece95dd33a74b151eadb1bf,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/23d0316980d95f4f7ece95dd33a74b151eadb1bf products=98","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/2783c1d2e280b095bb433d882e864c0662d21e01,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/2783c1d2e280b095bb433d882e864c0662d21e01 products=67","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/27cdd31e50801b69ed83a04dbdac5674d1078906,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/27cdd31e50801b69ed83a04dbdac5674d1078906 products=70","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/2f667c1e185b0ea47b093da526c2d552145b739e,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/2f667c1e185b0ea47b093da526c2d552145b739e products=64","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/3af12bf12f61eda51a19d1e8af3cefc05878f484,R-M01,REVIEW,REVIEW,"product-media-relations.csv path=system/files/images/productos/3af12bf12f61eda51a19d1e8af3cefc05878f484 products=70|71","REVERTED: MEDIA_VALIDATION_OR_HASH"
