source,class,candidate_files,resolved
categorias.php,ProjectLibrary_FrontEnd_FO_Categorias,system/libs/ProjectLibrary/FrontEnd/FO/Categorias.class.php,True
footerv1.php,ProjectLibrary_SDO_Core_Application_Categorias,system/libs/ProjectLibrary/SDO/Core/Application/Categorias.class.php,True
header.php,Date,,False
headerv1.php,ProjectLibrary_SDO_Core_Application_Categorias,system/libs/ProjectLibrary/SDO/Core/Application/Categorias.class.php,True
headerv1.php,Date,,False
iconos-marcasv1.php,ProjectLibrary_SDO_Core_Application_Marcas,system/libs/ProjectLibrary/SDO/Core/Application/Marcas.class.php,True
index.php,ProjectLibrary_SDO_Core_Application_Categorias,system/libs/ProjectLibrary/SDO/Core/Application/Categorias.class.php,True
links-menu-marcasv1.php,ProjectLibrary_SDO_Core_Application_Marcas,system/libs/ProjectLibrary/SDO/Core/Application/Marcas.class.php,True
links-menuv1.php,ProjectLibrary_SDO_Core_Application_Categorias,system/libs/ProjectLibrary/SDO/Core/Application/Categorias.class.php,True
marcasv1.php,ProjectLibrary_SDO_Core_Application_Marcas,system/libs/ProjectLibrary/SDO/Core/Application/Marcas.class.php,True
productos.php,ProjectLibrary_FrontEnd_FO_Authentification,system/libs/ProjectLibrary/FrontEnd/FO/Authentification.class.php,True
productos.php,ProjectLibrary_SDO_Core_Application_Productos,system/libs/ProjectLibrary/SDO/Core/Application/Productos.class.php,True
productos.php,Util_String,system/libs/CoreLibrary/Util/String.class.php,True
productos.php,ProjectLibrary_FrontEnd_FO_Productos,system/libs/ProjectLibrary/FrontEnd/FO/Productos.class.php,True
PHPMailer/get_oauth_token.php,Azure,,False
PHPMailer/get_oauth_token.php,Google,,False
PHPMailer/get_oauth_token.php,Microsoft,,False
PHPMailer/get_oauth_token.php,Yahoo,,False
PHPMailer/get_oauth_token.php,access,,False
PHPMailer/src/DSNConfigurator.php,PHPMailer,PHPMailer/src/PHPMailer.php | system/libs/PhpMailer/class.PHPMailer.php,True
PHPMailer/src/DSNConfigurator.php,SMTP,PHPMailer/src/SMTP.php | system/libs/PhpMailer/class.smtp.php,True
PHPMailer/src/DSNConfigurator.php,DSNConfigurator,PHPMailer/src/DSNConfigurator.php,True
PHPMailer/src/DSNConfigurator.php,Exception,PHPMailer/src/Exception.php,True
PHPMailer/src/DSNConfigurator.php,PHPMailer,PHPMailer/src/PHPMailer.php | system/libs/PhpMailer/class.PHPMailer.php,True
PHPMailer/src/OAuth.php,RefreshToken,,False
PHPMailer/src/OAuth.php,token,,False
PHPMailer/src/PHPMailer.php,PHPMailer,PHPMailer/src/PHPMailer.php | system/libs/PhpMailer/class.PHPMailer.php,True
PHPMailer/src/PHPMailer.php,SMTP,PHPMailer/src/SMTP.php | system/libs/PhpMailer/class.smtp.php,True
PHPMailer/src/PHPMailer.php,Exception,PHPMailer/src/Exception.php,True
PHPMailer/src/PHPMailer.php,SMTP,PHPMailer/src/SMTP.php | system/libs/PhpMailer/class.smtp.php,True
PHPMailer/src/PHPMailer.php,header,,False
PHPMailer/src/PHPMailer.php,problems,,False
PHPMailer/src/SMTP.php,SMTP,PHPMailer/src/SMTP.php | system/libs/PhpMailer/class.smtp.php,True
PHPMailer/src/SMTP.php,line,,False
sendMail/sendMail.php,PHPMailer,PHPMailer/src/PHPMailer.php | system/libs/PhpMailer/class.PHPMailer.php,True
sendMail/sendMail.php,Securimage,,False
system/Categorias.php,ProjectLibrary_FrontEnd_FO_Authentification,system/libs/ProjectLibrary/FrontEnd/FO/Authentification.class.php,True
system/Categorias.php,ProjectLibrary_FrontEnd_FO_Categorias,system/libs/ProjectLibrary/FrontEnd/FO/Categorias.class.php,True
system/common.php,Config,system/libs/CoreLibrary/Config.class.php,True
system/common.php,ExceptionHandler,system/libs/CoreLibrary/ExceptionHandler.class.php,True
system/common.php,ProjectLibrary_SDO_Core_Application_LanguageManager,system/libs/ProjectLibrary/SDO/Core/Application/LanguageManager.class.php,True
system/common.php,ClassNotFoundException,system/libs/CoreLibrary/Exceptions/ClassNotFoundException.class.php,True
system/debug.php,ProjectLibrary_FrontEnd_Util_Session,system/libs/ProjectLibrary/FrontEnd/Util/Session.class.php,True
system/file.php,ProjectLibrary_SDO_Core_IO_FileApplication,system/libs/ProjectLibrary/SDO/Core/IO/FileApplication.class.php,True
system/Marcas.php,ProjectLibrary_FrontEnd_FO_Authentification,system/libs/ProjectLibrary/FrontEnd/FO/Authentification.class.php,True
system/Marcas.php,ProjectLibrary_FrontEnd_FO_Marcas,system/libs/ProjectLibrary/FrontEnd/FO/Marcas.class.php,True
