entity,id,field,value,issue
producto,1,categoria,0,referencia ausente
producto,2,marca,0,referencia ausente
producto,3,marca,0,referencia ausente
producto,4,categoria,0,referencia ausente
producto,5,categoria,0,referencia ausente
producto,6,categoria,0,referencia ausente
producto,7,categoria,0,referencia ausente
producto,8,categoria,0,referencia ausente
producto,9,categoria,0,referencia ausente
producto,10,categoria,0,referencia ausente
producto,11,categoria,0,referencia ausente
producto,12,categoria,0,referencia ausente
producto,13,categoria,0,referencia ausente
producto,14,categoria,0,referencia ausente
producto,15,categoria,0,referencia ausente
producto,16,categoria,0,referencia ausente
producto,17,categoria,0,referencia ausente
producto,18,categoria,0,referencia ausente
producto,19,categoria,0,referencia ausente
producto,20,categoria,0,referencia ausente
producto,21,categoria,0,referencia ausente
producto,22,categoria,0,referencia ausente
producto,23,categoria,0,referencia ausente
producto,24,categoria,0,referencia ausente
producto,25,categoria,0,referencia ausente
producto,26,categoria,0,referencia ausente
producto,27,categoria,0,referencia ausente
producto,28,categoria,0,referencia ausente
producto,29,categoria,0,referencia ausente
producto,30,categoria,0,referencia ausente
producto,31,categoria,0,referencia ausente
producto,32,categoria,0,referencia ausente
producto,33,categoria,0,referencia ausente
producto,34,categoria,0,referencia ausente
producto,35,categoria,0,referencia ausente
producto,36,categoria,0,referencia ausente
producto,37,categoria,0,referencia ausente
producto,38,categoria,0,referencia ausente
producto,39,categoria,0,referencia ausente
producto,40,categoria,0,referencia ausente
producto,41,categoria,0,referencia ausente
producto,42,categoria,0,referencia ausente
producto,43,categoria,0,referencia ausente
producto,44,categoria,0,referencia ausente
producto,45,categoria,0,referencia ausente
producto,46,categoria,0,referencia ausente
producto,47,categoria,0,referencia ausente
producto,48,categoria,0,referencia ausente
producto,49,categoria,0,referencia ausente
producto,50,categoria,0,referencia ausente
producto,51,categoria,0,referencia ausente
producto,52,categoria,0,referencia ausente
producto,53,categoria,0,referencia ausente
producto,54,categoria,0,referencia ausente
producto,55,categoria,0,referencia ausente
producto,56,categoria,0,referencia ausente
producto,57,marca,0,referencia ausente
producto,58,marca,0,referencia ausente
producto,59,marca,0,referencia ausente
producto,60,marca,0,referencia ausente
producto,61,marca,0,referencia ausente
producto,62,marca,0,referencia ausente
producto,63,marca,0,referencia ausente
producto,64,marca,0,referencia ausente
producto,65,marca,0,referencia ausente
producto,66,marca,0,referencia ausente
producto,67,marca,0,referencia ausente
producto,68,marca,0,referencia ausente
producto,69,marca,0,referencia ausente
producto,70,marca,0,referencia ausente
producto,71,marca,0,referencia ausente
producto,72,marca,0,referencia ausente
producto,73,marca,0,referencia ausente
producto,74,marca,0,referencia ausente
producto,75,marca,0,referencia ausente
producto,76,marca,0,referencia ausente
producto,77,marca,0,referencia ausente
producto,78,marca,0,referencia ausente
producto,79,marca,0,referencia ausente
producto,80,marca,0,referencia ausente
producto,81,marca,0,referencia ausente
producto,82,marca,0,referencia ausente
producto,83,marca,0,referencia ausente
producto,84,marca,0,referencia ausente
