table,file,line,evidence_kind
marcas,accesorios.php,2,símbolo de clase/tabla; no necesariamente consulta directa
productos,accesorios.php,3,símbolo de clase/tabla; no necesariamente consulta directa
marcas,accesspro-fs1000speed.php,2,símbolo de clase/tabla; no necesariamente consulta directa
productos,accesspro-fs1000speed.php,3,símbolo de clase/tabla; no necesariamente consulta directa
marcas,barreras-estacionamiento-moovi50rm.php,2,símbolo de clase/tabla; no necesariamente consulta directa
productos,barreras-estacionamiento-moovi50rm.php,3,símbolo de clase/tabla; no necesariamente consulta directa
productos,barreras-estacionamiento-moovi50rm.php,13,símbolo de clase/tabla; no necesariamente consulta directa
productos,bft-resp.php,10,símbolo de clase/tabla; no necesariamente consulta directa
marcas,bft.php,2,símbolo de clase/tabla; no necesariamente consulta directa
productos,bft.php,3,símbolo de clase/tabla; no necesariamente consulta directa
marcas,bft.php,16,símbolo de clase/tabla; no necesariamente consulta directa
productos,bix-al-antena-externa-433-mhz.php,13,símbolo de clase/tabla; no necesariamente consulta directa
marcas,blue-giant.php,2,símbolo de clase/tabla; no necesariamente consulta directa
productos,blue-giant.php,3,símbolo de clase/tabla; no necesariamente consulta directa
marcas,blue-giant.php,16,símbolo de clase/tabla; no necesariamente consulta directa
productos,blue-giant.php,106,símbolo de clase/tabla; no necesariamente consulta directa
categorias,categorias.php,3,símbolo de clase/tabla; no necesariamente consulta directa
marcas,clopay.php,2,símbolo de clase/tabla; no necesariamente consulta directa
productos,clopay.php,3,símbolo de clase/tabla; no necesariamente consulta directa
marcas,clopay.php,16,símbolo de clase/tabla; no necesariamente consulta directa
marcas,coleccion-classic.php,2,símbolo de clase/tabla; no necesariamente consulta directa
productos,coleccion-classic.php,3,símbolo de clase/tabla; no necesariamente consulta directa
marcas,coleccion-modern-steel.php,2,símbolo de clase/tabla; no necesariamente consulta directa
productos,coleccion-modern-steel.php,3,símbolo de clase/tabla; no necesariamente consulta directa
productos,com-programadores-digitales-y-rotativos.php,13,símbolo de clase/tabla; no necesariamente consulta directa
productos,comercial.php,3,símbolo de clase/tabla; no necesariamente consulta directa
marcas,cortina-de-seguridad-670.php,2,símbolo de clase/tabla; no necesariamente consulta directa
productos,cortina-de-seguridad-670.php,3,símbolo de clase/tabla; no necesariamente consulta directa
marcas,cortina-de-seguridad-671.php,2,símbolo de clase/tabla; no necesariamente consulta directa
productos,cortina-de-seguridad-671.php,3,símbolo de clase/tabla; no necesariamente consulta directa
marcas,cortina-en-aluminio-serie-511-521.php,2,símbolo de clase/tabla; no necesariamente consulta directa
productos,cortina-en-aluminio-serie-511-521.php,3,símbolo de clase/tabla; no necesariamente consulta directa
marcas,cortina-europea.php,2,símbolo de clase/tabla; no necesariamente consulta directa
productos,cortina-europea.php,3,símbolo de clase/tabla; no necesariamente consulta directa
marcas,cortina-plana.php,2,símbolo de clase/tabla; no necesariamente consulta directa
productos,cortina-plana.php,3,símbolo de clase/tabla; no necesariamente consulta directa
marcas,cortina-serie-600.php,2,símbolo de clase/tabla; no necesariamente consulta directa
productos,cortina-serie-600.php,3,símbolo de clase/tabla; no necesariamente consulta directa
marcas,cortina-serie-610.php,2,símbolo de clase/tabla; no necesariamente consulta directa
productos,cortina-serie-610.php,3,símbolo de clase/tabla; no necesariamente consulta directa
marcas,cortina-serie-620.php,2,símbolo de clase/tabla; no necesariamente consulta directa
productos,cortina-serie-620.php,3,símbolo de clase/tabla; no necesariamente consulta directa
marcas,cortina-serie-625.php,2,símbolo de clase/tabla; no necesariamente consulta directa
productos,cortina-serie-625.php,3,símbolo de clase/tabla; no necesariamente consulta directa
marcas,cortina-serie-630.php,2,símbolo de clase/tabla; no necesariamente consulta directa
productos,cortina-serie-630.php,3,símbolo de clase/tabla; no necesariamente consulta directa
marcas,cortina-serie-790-cw.php,2,símbolo de clase/tabla; no necesariamente consulta directa
productos,cortina-serie-790-cw.php,3,símbolo de clase/tabla; no necesariamente consulta directa
productos,cortinas-enrollables-industriales.php,3,símbolo de clase/tabla; no necesariamente consulta directa
marcas,cortinas-ventiladas-685.php,2,símbolo de clase/tabla; no necesariamente consulta directa
productos,cortinas-ventiladas-685.php,3,símbolo de clase/tabla; no necesariamente consulta directa
productos,cortinas-ventiladas-685.php,37,símbolo de clase/tabla; no necesariamente consulta directa
productos,detector-de-masas-max-eagle.php,13,símbolo de clase/tabla; no necesariamente consulta directa
marcas,dockman.php,2,símbolo de clase/tabla; no necesariamente consulta directa
productos,dockman.php,3,símbolo de clase/tabla; no necesariamente consulta directa
marcas,dockman.php,16,símbolo de clase/tabla; no necesariamente consulta directa
marcas,doorlock.php,2,símbolo de clase/tabla; no necesariamente consulta directa
