file,bytes,extension,sha256,classification,evidence,references_basename_files,template_pattern
.htaccess,515,,27913eb02566ab49b7fbf007e339e7dfdec955839e60a33a84b9280e9cf42f3e,recurso,Extensión/directorio,,
1500-revolving-door.php,4903,.php,1dc2e015e7c10f5c5dd5026455d0b6002c89b8be4c76db498141ee20812113f5,producto (probable por estructura),Incluye cabecera pública,1,detalle-estatico
accesorios.php,2983,.php,0618fa788e6c55824b39c24ef05135dd88ade7c45584890c8f8b2a5733eadeae,producto (probable),Incluye cabecera pública,3,detalle-estatico
accesspro-fs1000speed.php,4011,.php,5ca9f4e4f30d16b5bcfddb16c90973541476bf0a422ca99e60b0a75e3e0ab9b9,producto (probable),Incluye cabecera pública,4,detalle-estatico
automatismos-para-cancelas-cubic.php,3532,.php,3855b5343ae213037ccb7f312ea02c3a75e038c52506eeb91a4a34207f20d1b1,producto (probable por estructura),Incluye cabecera pública,1,detalle-estatico
back-seccionales.php,546,.php,444b63f00e6953de0b7549b34eb6acd53d5473f0aad04be861eff8b267ee274d,include / fragmento,Referencias include o fragmento HTML; accesibilidad HTTP no verificada,0,
barreras-estacionamiento-moovi50rm.php,4346,.php,db25a4454d5b23ace018c749d9d41486c03bbb0d2ca1621888b0f252d233f767,producto (probable),Incluye cabecera pública,7,detalle-estatico
bft-resp.php,11656,.php,cec532d34563e51508e3956513e42196acea861463a7e37325272850d7503093,categoría / landing SEO (probable),Incluye cabecera pública,0,listado-estatico
bft.php,12111,.php,b03f35c9a58da293671d5880e7ab79f7f1d0cc943e8d690b4337f68a7fdf8851,marca,Incluye cabecera pública,5,listado-marca
bix-al-antena-externa-433-mhz.php,3238,.php,18b953a491ac3b7393566000a34382d07aa43a42c5516de039dbed1309145e92,producto (probable por estructura),Incluye cabecera pública,1,detalle-estatico
blindadas.php,4022,.php,5e49d8ec8c98f740943f59da5dd554e945e239828745ce28c8a50d49a10f39be,categoría / landing SEO (probable),Incluye cabecera pública,5,listado-estatico
blue-giant.php,19189,.php,b41d59e849e0beb15b86be9f2655ffb5ffceba1526d505d109488763d834bc2a,marca,Incluye cabecera pública,6,listado-marca
