id,original_id,path,type,version,exists,access_type,expected_path,located_paths
1,,system/files/images/productos/a55fa2df012da03804394e857fc5e09ed6a69191,image/jpeg,original,True,public,system/files/images/productos/a55fa2df012da03804394e857fc5e09ed6a69191,system/files/images/productos/a55fa2df012da03804394e857fc5e09ed6a69191
2,1,multimedia/imagenes/productos/7d1e30fda170054cf7f443645c9e0a742b9586c1.jpg,image/jpeg,small,True,public,multimedia/imagenes/productos/7d1e30fda170054cf7f443645c9e0a742b9586c1.jpg,multimedia/imagenes/productos/7d1e30fda170054cf7f443645c9e0a742b9586c1.jpg
3,1,multimedia/imagenes/productos/db88124010c8fd74436ab47c242f52ca0b056d98.jpg,image/jpeg,medium,True,public,multimedia/imagenes/productos/db88124010c8fd74436ab47c242f52ca0b056d98.jpg,multimedia/imagenes/productos/db88124010c8fd74436ab47c242f52ca0b056d98.jpg
4,1,multimedia/imagenes/productos/ef0963eb15946f07dd1d427c167dc48109d6e87a.jpg,image/jpeg,large,True,public,multimedia/imagenes/productos/ef0963eb15946f07dd1d427c167dc48109d6e87a.jpg,multimedia/imagenes/productos/ef0963eb15946f07dd1d427c167dc48109d6e87a.jpg
5,,system/files/images/productos/9373560b7092ddbdc9e4c0586c55dacf882d166a,image/jpeg,original,True,public,system/files/images/productos/9373560b7092ddbdc9e4c0586c55dacf882d166a,system/files/images/productos/9373560b7092ddbdc9e4c0586c55dacf882d166a
6,5,multimedia/imagenes/productos/78badd13084d652203832ca46c50be6692d62efe.jpg,image/jpeg,small,True,public,multimedia/imagenes/productos/78badd13084d652203832ca46c50be6692d62efe.jpg,multimedia/imagenes/productos/78badd13084d652203832ca46c50be6692d62efe.jpg
7,5,multimedia/imagenes/productos/4bf99ece8dcaab3c76de410407dec23791362fdf.jpg,image/jpeg,medium,True,public,multimedia/imagenes/productos/4bf99ece8dcaab3c76de410407dec23791362fdf.jpg,multimedia/imagenes/productos/4bf99ece8dcaab3c76de410407dec23791362fdf.jpg
8,5,multimedia/imagenes/productos/89d3299b01f3c1859f55795b42072e81f8420ced.jpg,image/jpeg,large,True,public,multimedia/imagenes/productos/89d3299b01f3c1859f55795b42072e81f8420ced.jpg,multimedia/imagenes/productos/89d3299b01f3c1859f55795b42072e81f8420ced.jpg
9,,system/files/images/productos/b2588f4e4df68a23124a8dbc2b63374ec6959253,application/pdf,original,True,public,system/files/images/productos/b2588f4e4df68a23124a8dbc2b63374ec6959253,system/files/images/productos/b2588f4e4df68a23124a8dbc2b63374ec6959253
10,,system/files/images/productos/74237414514c37fbc6273d2d8ed63ba0af98464d,application/pdf,original,True,public,system/files/images/productos/74237414514c37fbc6273d2d8ed63ba0af98464d,system/files/images/productos/74237414514c37fbc6273d2d8ed63ba0af98464d
11,,system/files/images/categorias/59ca6b73479b3fcde81f96439976896bad94b750,image/jpeg,original,True,public,system/files/images/categorias/59ca6b73479b3fcde81f96439976896bad94b750,system/files/images/categorias/59ca6b73479b3fcde81f96439976896bad94b750 | system/files/images/productos/59ca6b73479b3fcde81f96439976896bad94b750
12,11,multimedia/imagenes/categorias/9aa38823e5b22f19d72fa30337e9b3f497cc70e2.jpg,image/jpeg,small,True,public,multimedia/imagenes/categorias/9aa38823e5b22f19d72fa30337e9b3f497cc70e2.jpg,multimedia/imagenes/categorias/9aa38823e5b22f19d72fa30337e9b3f497cc70e2.jpg | multimedia/imagenes/productos/9aa38823e5b22f19d72fa30337e9b3f497cc70e2.jpg
13,11,multimedia/imagenes/categorias/f62f5e05331c33d8d6ca84d6f7118f721f9f3c87.jpg,image/jpeg,medium,True,public,multimedia/imagenes/categorias/f62f5e05331c33d8d6ca84d6f7118f721f9f3c87.jpg,multimedia/imagenes/categorias/f62f5e05331c33d8d6ca84d6f7118f721f9f3c87.jpg | multimedia/imagenes/productos/f62f5e05331c33d8d6ca84d6f7118f721f9f3c87.jpg
14,11,multimedia/imagenes/categorias/b84c70fd47dcc2b46b4e518727ce00f0ea8a6356.jpg,image/jpeg,large,True,public,multimedia/imagenes/categorias/b84c70fd47dcc2b46b4e518727ce00f0ea8a6356.jpg,multimedia/imagenes/categorias/b84c70fd47dcc2b46b4e518727ce00f0ea8a6356.jpg | multimedia/imagenes/productos/b84c70fd47dcc2b46b4e518727ce00f0ea8a6356.jpg
15,,system/files/images/categorias/9022847e37c72e9a2de76dcdf7c2e22b08cf6cb0,image/jpeg,original,True,public,system/files/images/categorias/9022847e37c72e9a2de76dcdf7c2e22b08cf6cb0,system/files/images/categorias/9022847e37c72e9a2de76dcdf7c2e22b08cf6cb0
16,15,multimedia/imagenes/categorias/3ddaeb1071fba1aaf58c92e17454b6da7a867d65.jpg,image/jpeg,small,True,public,multimedia/imagenes/categorias/3ddaeb1071fba1aaf58c92e17454b6da7a867d65.jpg,multimedia/imagenes/categorias/3ddaeb1071fba1aaf58c92e17454b6da7a867d65.jpg
17,15,multimedia/imagenes/categorias/a4633a99aa959e57a39bda53a945844932c4053e.jpg,image/jpeg,medium,True,public,multimedia/imagenes/categorias/a4633a99aa959e57a39bda53a945844932c4053e.jpg,multimedia/imagenes/categorias/a4633a99aa959e57a39bda53a945844932c4053e.jpg
18,15,multimedia/imagenes/categorias/4c6bb8fc4dc4cfb9ac3cd319aaa4e90bd9bc4290.jpg,image/jpeg,large,True,public,multimedia/imagenes/categorias/4c6bb8fc4dc4cfb9ac3cd319aaa4e90bd9bc4290.jpg,multimedia/imagenes/categorias/4c6bb8fc4dc4cfb9ac3cd319aaa4e90bd9bc4290.jpg
19,,system/files/images/productos/59ca6b73479b3fcde81f96439976896bad94b750,image/jpeg,original,True,public,system/files/images/productos/59ca6b73479b3fcde81f96439976896bad94b750,system/files/images/categorias/59ca6b73479b3fcde81f96439976896bad94b750 | system/files/images/productos/59ca6b73479b3fcde81f96439976896bad94b750
20,19,multimedia/imagenes/productos/9aa38823e5b22f19d72fa30337e9b3f497cc70e2.jpg,image/jpeg,small,True,public,multimedia/imagenes/productos/9aa38823e5b22f19d72fa30337e9b3f497cc70e2.jpg,multimedia/imagenes/categorias/9aa38823e5b22f19d72fa30337e9b3f497cc70e2.jpg | multimedia/imagenes/productos/9aa38823e5b22f19d72fa30337e9b3f497cc70e2.jpg
21,19,multimedia/imagenes/productos/f62f5e05331c33d8d6ca84d6f7118f721f9f3c87.jpg,image/jpeg,medium,True,public,multimedia/imagenes/productos/f62f5e05331c33d8d6ca84d6f7118f721f9f3c87.jpg,multimedia/imagenes/categorias/f62f5e05331c33d8d6ca84d6f7118f721f9f3c87.jpg | multimedia/imagenes/productos/f62f5e05331c33d8d6ca84d6f7118f721f9f3c87.jpg
22,19,multimedia/imagenes/productos/b84c70fd47dcc2b46b4e518727ce00f0ea8a6356.jpg,image/jpeg,large,True,public,multimedia/imagenes/productos/b84c70fd47dcc2b46b4e518727ce00f0ea8a6356.jpg,multimedia/imagenes/categorias/b84c70fd47dcc2b46b4e518727ce00f0ea8a6356.jpg | multimedia/imagenes/productos/b84c70fd47dcc2b46b4e518727ce00f0ea8a6356.jpg
23,,system/files/images/productos/9373560b7092ddbdc9e4c0586c55dacf882d166a,image/jpeg,original,True,public,system/files/images/productos/9373560b7092ddbdc9e4c0586c55dacf882d166a,system/files/images/productos/9373560b7092ddbdc9e4c0586c55dacf882d166a
24,23,multimedia/imagenes/productos/78badd13084d652203832ca46c50be6692d62efe.jpg,image/jpeg,small,True,public,multimedia/imagenes/productos/78badd13084d652203832ca46c50be6692d62efe.jpg,multimedia/imagenes/productos/78badd13084d652203832ca46c50be6692d62efe.jpg
25,23,multimedia/imagenes/productos/4bf99ece8dcaab3c76de410407dec23791362fdf.jpg,image/jpeg,medium,True,public,multimedia/imagenes/productos/4bf99ece8dcaab3c76de410407dec23791362fdf.jpg,multimedia/imagenes/productos/4bf99ece8dcaab3c76de410407dec23791362fdf.jpg
26,23,multimedia/imagenes/productos/89d3299b01f3c1859f55795b42072e81f8420ced.jpg,image/jpeg,large,True,public,multimedia/imagenes/productos/89d3299b01f3c1859f55795b42072e81f8420ced.jpg,multimedia/imagenes/productos/89d3299b01f3c1859f55795b42072e81f8420ced.jpg
27,,system/files/images/categorias/e09d138e9fbc0a4df6c160f6f884b18f47a19ed0,image/jpeg,original,True,public,system/files/images/categorias/e09d138e9fbc0a4df6c160f6f884b18f47a19ed0,system/files/images/categorias/e09d138e9fbc0a4df6c160f6f884b18f47a19ed0
28,27,multimedia/imagenes/categorias/c5d84c5a35b526d95808f39db16aae6f392aa052.jpg,image/jpeg,small,True,public,multimedia/imagenes/categorias/c5d84c5a35b526d95808f39db16aae6f392aa052.jpg,multimedia/imagenes/categorias/c5d84c5a35b526d95808f39db16aae6f392aa052.jpg
29,27,multimedia/imagenes/categorias/d1cf6a11d7781492d7225cf00c38395192f7c60e.jpg,image/jpeg,medium,True,public,multimedia/imagenes/categorias/d1cf6a11d7781492d7225cf00c38395192f7c60e.jpg,multimedia/imagenes/categorias/d1cf6a11d7781492d7225cf00c38395192f7c60e.jpg
30,27,multimedia/imagenes/categorias/1273b44cb7fea331d80071724f13afdf72a997e7.jpg,image/jpeg,large,True,public,multimedia/imagenes/categorias/1273b44cb7fea331d80071724f13afdf72a997e7.jpg,multimedia/imagenes/categorias/1273b44cb7fea331d80071724f13afdf72a997e7.jpg
31,,system/files/images/productos/158ffcb904bc82f2a7d2ec143de37e00730d04bd,image/jpeg,original,True,public,system/files/images/productos/158ffcb904bc82f2a7d2ec143de37e00730d04bd,system/files/images/categorias/158ffcb904bc82f2a7d2ec143de37e00730d04bd | system/files/images/productos/158ffcb904bc82f2a7d2ec143de37e00730d04bd
32,31,multimedia/imagenes/productos/b0febde0c13d86cada3c1dc5a24f75d0bf60b9c2.jpg,image/jpeg,small,True,public,multimedia/imagenes/productos/b0febde0c13d86cada3c1dc5a24f75d0bf60b9c2.jpg,multimedia/imagenes/categorias/b0febde0c13d86cada3c1dc5a24f75d0bf60b9c2.jpg | multimedia/imagenes/productos/b0febde0c13d86cada3c1dc5a24f75d0bf60b9c2.jpg
33,31,multimedia/imagenes/productos/d3406d2e8ecb6d2c64e6862e3ed1cfe460479186.jpg,image/jpeg,medium,True,public,multimedia/imagenes/productos/d3406d2e8ecb6d2c64e6862e3ed1cfe460479186.jpg,multimedia/imagenes/categorias/d3406d2e8ecb6d2c64e6862e3ed1cfe460479186.jpg | multimedia/imagenes/productos/d3406d2e8ecb6d2c64e6862e3ed1cfe460479186.jpg
34,31,multimedia/imagenes/productos/4743716b36d08853d49c8cdb4c43b932ec851f53.jpg,image/jpeg,large,True,public,multimedia/imagenes/productos/4743716b36d08853d49c8cdb4c43b932ec851f53.jpg,multimedia/imagenes/categorias/4743716b36d08853d49c8cdb4c43b932ec851f53.jpg | multimedia/imagenes/productos/4743716b36d08853d49c8cdb4c43b932ec851f53.jpg
35,,system/files/images/productos/270dc5e4c6c6812ee093439acca26905e68f7d8d,application/pdf,original,True,public,system/files/images/productos/270dc5e4c6c6812ee093439acca26905e68f7d8d,system/files/images/productos/270dc5e4c6c6812ee093439acca26905e68f7d8d
36,,system/files/images/categorias/158ffcb904bc82f2a7d2ec143de37e00730d04bd,image/jpeg,original,True,public,system/files/images/categorias/158ffcb904bc82f2a7d2ec143de37e00730d04bd,system/files/images/categorias/158ffcb904bc82f2a7d2ec143de37e00730d04bd | system/files/images/productos/158ffcb904bc82f2a7d2ec143de37e00730d04bd
37,36,multimedia/imagenes/categorias/b0febde0c13d86cada3c1dc5a24f75d0bf60b9c2.jpg,image/jpeg,small,True,public,multimedia/imagenes/categorias/b0febde0c13d86cada3c1dc5a24f75d0bf60b9c2.jpg,multimedia/imagenes/categorias/b0febde0c13d86cada3c1dc5a24f75d0bf60b9c2.jpg | multimedia/imagenes/productos/b0febde0c13d86cada3c1dc5a24f75d0bf60b9c2.jpg
38,36,multimedia/imagenes/categorias/d3406d2e8ecb6d2c64e6862e3ed1cfe460479186.jpg,image/jpeg,medium,True,public,multimedia/imagenes/categorias/d3406d2e8ecb6d2c64e6862e3ed1cfe460479186.jpg,multimedia/imagenes/categorias/d3406d2e8ecb6d2c64e6862e3ed1cfe460479186.jpg | multimedia/imagenes/productos/d3406d2e8ecb6d2c64e6862e3ed1cfe460479186.jpg
39,36,multimedia/imagenes/categorias/4743716b36d08853d49c8cdb4c43b932ec851f53.jpg,image/jpeg,large,True,public,multimedia/imagenes/categorias/4743716b36d08853d49c8cdb4c43b932ec851f53.jpg,multimedia/imagenes/categorias/4743716b36d08853d49c8cdb4c43b932ec851f53.jpg | multimedia/imagenes/productos/4743716b36d08853d49c8cdb4c43b932ec851f53.jpg
40,,system/files/images/productos/34f28e439542eac878d04732d90fb8dcbf6fece1,image/jpeg,original,True,public,system/files/images/productos/34f28e439542eac878d04732d90fb8dcbf6fece1,system/files/images/productos/34f28e439542eac878d04732d90fb8dcbf6fece1
