file,line,finding,status
PHPMailer/src/DSNConfigurator.php,43,nullable implícito,candidato estático; reachability no garantizada
system/libs/CoreLibrary/Config.class.php,173,ereg/split antiguo,candidato estático; reachability no garantizada
system/libs/CoreLibrary/Objeto.class.php,12,utf8 encode/decode,candidato estático; reachability no garantizada
system/libs/CoreLibrary/RestHTTP.class.php,19,nullable implícito,candidato estático; reachability no garantizada
system/libs/CoreLibrary/DB/DBConnection.class.php,4,nullable implícito,candidato estático; reachability no garantizada
system/libs/CoreLibrary/DB/DBConnection.class.php,5,nullable implícito,candidato estático; reachability no garantizada
system/libs/CoreLibrary/DB/DBConnection.class.php,6,nullable implícito,candidato estático; reachability no garantizada
system/libs/CoreLibrary/DB/DBConnection.class.php,7,nullable implícito,candidato estático; reachability no garantizada
system/libs/CoreLibrary/DB/MySQLStrategy.class.php,5,nullable implícito,candidato estático; reachability no garantizada
system/libs/CoreLibrary/DB/MySQLStrategy.class.php,13,mysql antiguo,candidato estático; reachability no garantizada
system/libs/CoreLibrary/DB/MySQLStrategy.class.php,14,mysql antiguo,candidato estático; reachability no garantizada
system/libs/CoreLibrary/DB/MySQLStrategy.class.php,20,mysql antiguo,candidato estático; reachability no garantizada
system/libs/CoreLibrary/DB/MySQLStrategy.class.php,34,mysql antiguo,candidato estático; reachability no garantizada
system/libs/CoreLibrary/DB/MySQLStrategy.class.php,37,mysql antiguo,candidato estático; reachability no garantizada
system/libs/CoreLibrary/DB/MySQLStrategy.class.php,51,mysql antiguo,candidato estático; reachability no garantizada
system/libs/CoreLibrary/DB/MySQLStrategy.class.php,58,mysql antiguo,candidato estático; reachability no garantizada
system/libs/CoreLibrary/DB/MySQLStrategy.class.php,62,mysql antiguo,candidato estático; reachability no garantizada
system/libs/CoreLibrary/DB/MySQLStrategy.class.php,66,mysql antiguo,candidato estático; reachability no garantizada
system/libs/CoreLibrary/DB/MySQLStrategy.class.php,73,mysql antiguo,candidato estático; reachability no garantizada
system/libs/CoreLibrary/DB/MySQLStrategy.class.php,80,mysql antiguo,candidato estático; reachability no garantizada
system/libs/CoreLibrary/DB/MySQLStrategy.class.php,87,mysql antiguo,candidato estático; reachability no garantizada
system/libs/CoreLibrary/DB/MySQLStrategy.class.php,94,mysql antiguo,candidato estático; reachability no garantizada
system/libs/CoreLibrary/DB/MySQLStrategy.class.php,98,mysql antiguo,candidato estático; reachability no garantizada
system/libs/CoreLibrary/DB/MySQLStrategy.class.php,102,mysql antiguo,candidato estático; reachability no garantizada
