productos_id,nombre,imagenes,fichas,video,categoria,marca,fecha
1,AccessPRO FS1000SPEED,"1,165",164,,0,1,2025-09-29
2,"Energy Series With INTELLICOREÂ® 3717 1 3/4""","19,23","9,10",,8,0,2025-10-01
3,NIVELADOR DE ANDÃ‰N HIDRÃULICO SERIE HP,31,35,,7,0,2025-10-01
4,Cortina serie 625,169,173,,0,1,2025-10-20
5,Cortina en aluminio serie 511/521,174,178,,0,1,2025-10-20
6,ColecciÃ³n Modern Steelâ„¢,"179,183,187,191",195,,0,1,2025-10-20
7,Cortina serie 620,196,200,,0,1,2025-10-20
8,Thermacore serie 592,201,205,,0,1,2025-10-20
9,ColecciÃ³n Classicâ„¢ â€“ Serie Premium,"206,210,214,218,222",226,,0,1,2025-10-20
10,Cortina serie 600,"227,231",235,,0,1,2025-10-20
11,Cortina serie 630-631-634-635,236,240,,0,1,2025-10-20
12,Operador comercial RHX,241,245,,0,1,2025-10-20
13,Fire Rated Doors FireStarÂ® Models 700 & 700c,246,250,,0,2,2025-10-20
14,Puertas Seccionales de Acero Aisladas Thermospan Â® Modelo 150,"251,255",259,,0,2,2025-10-20
15,Puertas seccionales de acero modelo 2415,"260,264",268,,0,2,2025-10-20
16,ColecciÃ³n Modern Steelâ„¢,"269,273,277,281",285,,0,2,2025-10-20
17,"ENERGY SERIES WITH INTELLICOREÂ® 3717 1 3/4â€³, 3720 /3724 / 3722","286,290","294,295",,0,3,2025-10-20
18,"Puertas de acero acanalado modelos 524, 524V, 524S","296,300",304,,0,3,2025-10-20
19,ENERGY SERIES WITH INTELLICOREÂ® 3720 /3724 / 3722,"305,309",313,,0,3,2025-10-20
20,ColecciÃ³n Modern Steelâ„¢,"314,318,322,326",330,,0,3,2025-10-20
21,SHELTER ABRIGO ESTACIONARIO Blue Giant,331,"335,336",,0,4,2025-10-20
22,RETENEDOR DE VEHICULOS ( electrico) MOD HVR303 StrongArmâ„¢,337,341,,0,4,2025-10-20
23,RAMPA NIVELADORA MECÃNICA BLUE GIANT,347,346,,0,4,2025-10-20
24,Rampas de AndÃ©n HidrÃ¡ulicas,351,355,,0,5,2025-10-20
25,RETENEDOR DE VEHICULOS STAR4,356,360,,0,5,2025-10-20
26,Puerta contra explosion,"361,365",369,,0,6,2025-10-22
27,Accesorios,"370,374",378,,0,6,2025-10-22
28,Puertas blindadas,"379,383","387,388",,0,6,2025-10-22
29,Puertas contra incendio,"389,393","397,398",,0,6,2025-10-22
30,Puertas contra rayos x,"399,403","407,408",,0,6,2025-10-22
31,Puerta estÃ¡ndar,"409,413","417,418",,0,6,2025-10-22
32,Puerta estÃ¡ndar reforzada,"419,423","427,428",,0,6,2025-10-22
33,Puerta Holandesa,"429,433",437,,0,6,2025-10-22
34,Puerta para hospital,"438,442",,,0,6,2025-10-22
35,Puerta y fijos Louver,"446,450,454",,,0,6,2025-10-22
36,Fast-Seal Â®,458,462,,0,7,2025-10-22
37,PredaDoorÂ® NXTÂ® Door,463,467,,0,7,2025-10-22
38,RÃPIDA ENROLLABLE INDUSTRIAL,"468,472,476",480,,0,8,2025-10-22
39,Puerta rÃ¡pida apilable,"481,485",489,,0,8,2025-10-22
40,ROLLI ZIP Puertas rÃ¡pidas enrollables autorreparabale,"490,494",498,,0,9,2025-10-22
41,ALUMINA â€“ Puertas rÃ¡pidas autorreparable,499,503,,0,9,2025-10-22
42,VertiGO,504,,,0,9,2025-10-22
43,Lift Master Mod H,508,512,,0,11,2025-10-22
44,Barreras de estacionamiento MOOVI50RM,513,517,,0,12,2025-10-23
45,SERIE X130 Motor para cortina oculto,518,522,,0,12,2025-10-23
46,PHOBOS N Piston Electromecanico,523,527,,0,12,2025-10-23
47,"P4,5-7 Piston Hidraulico para puerta abatible",528,532,,0,12,2025-10-23
48,LUX 2B y Lux GV Piston hidraulico para puerta abatible,533,537,,0,12,2025-10-23
49,ICARO SMART AC A2000 120,538,542,,0,12,2025-10-23
50,Puertas Industriales DOCKMAN,"543,547",551,,0,10,2025-10-23
51,Labio de elevaciÃ³n mecÃ¡nico,"552,556",560,,0,10,2025-10-23
52,Sellos de AndÃ©n,"561,565,569",573,,0,10,2025-10-23
53,Rampas de AndÃ©n HidrÃ¡ulicas,574,578,,0,10,2025-10-23
54,Cortina Plana,"579,583,587,591",595,,0,10,2025-10-23
55,Cortina Europea,"596,600,604,608",612,,0,10,2025-10-23
