source_page,source_family,linked_page,meaning
bft-resp.php,listado-estatico,barreras-estacionamiento-moovi50rm.php,asociación de navegación literal; no equivale a FK
bft-resp.php,listado-estatico,cortinas-enrollables-industriales.php,asociación de navegación literal; no equivale a FK
bft-resp.php,listado-estatico,puertas-rapidas-enrollables.php,asociación de navegación literal; no equivale a FK
bft.php,listado-marca,barreras-estacionamiento-moovi50rm.php,asociación de navegación literal; no equivale a FK
bft.php,listado-marca,icaro-smart.php,asociación de navegación literal; no equivale a FK
bft.php,listado-marca,lux-2b-y-lux-gv-piston-hidraulico-para-puerta-abatible.php,asociación de navegación literal; no equivale a FK
bft.php,listado-marca,p45-7-piston-hidraulico-para-puerta-abatible.php,asociación de navegación literal; no equivale a FK
bft.php,listado-marca,phobos-n-piston-electromecanico.php,asociación de navegación literal; no equivale a FK
bft.php,listado-marca,serie-x130-motor-para-cortina-oculto.php,asociación de navegación literal; no equivale a FK
blindadas.php,listado-estatico,puertas-blindadas.php,asociación de navegación literal; no equivale a FK
blue-giant.php,listado-marca,barreras-estacionamiento-moovi50rm.php,asociación de navegación literal; no equivale a FK
blue-giant.php,listado-marca,cortinas-enrollables-industriales.php,asociación de navegación literal; no equivale a FK
blue-giant.php,listado-marca,puertas-rapidas-enrollables.php,asociación de navegación literal; no equivale a FK
blue-giant.php,listado-marca,rampa-niveladora-mecanica-blue-giant.php,asociación de navegación literal; no equivale a FK
blue-giant.php,listado-marca,retenedor-de-vehiculos.php,asociación de navegación literal; no equivale a FK
blue-giant.php,listado-marca,shelter-abrigo-estacionario-blue-giant.php,asociación de navegación literal; no equivale a FK
centros-comerciales.php,listado-estatico,barreras-estacionamiento-moovi50rm.php,asociación de navegación literal; no equivale a FK
centros-comerciales.php,listado-estatico,cortina-europea.php,asociación de navegación literal; no equivale a FK
centros-comerciales.php,listado-estatico,cortina-plana.php,asociación de navegación literal; no equivale a FK
centros-comerciales.php,listado-estatico,cortina-serie-600.php,asociación de navegación literal; no equivale a FK
centros-comerciales.php,listado-estatico,cortinas-ventiladas-685.php,asociación de navegación literal; no equivale a FK
centros-comerciales.php,listado-estatico,puerta-estandar-reforzada.php,asociación de navegación literal; no equivale a FK
centros-comerciales.php,listado-estatico,puerta-estandar.php,asociación de navegación literal; no equivale a FK
centros-comerciales.php,listado-estatico,puerta-holandesa.php,asociación de navegación literal; no equivale a FK
centros-comerciales.php,listado-estatico,puerta-y-fijos-louver.php,asociación de navegación literal; no equivale a FK
centros-comerciales.php,listado-estatico,puertas-blindadas.php,asociación de navegación literal; no equivale a FK
centros-comerciales.php,listado-estatico,puertas-contra-incendio.php,asociación de navegación literal; no equivale a FK
clopay.php,listado-marca,coleccion-modern-steel.php,asociación de navegación literal; no equivale a FK
clopay.php,listado-marca,energy-series-with-intellicore-37171-3-4.php,asociación de navegación literal; no equivale a FK
clopay.php,listado-marca,energy-series-with-intellicore-3720-3724-3722.php,asociación de navegación literal; no equivale a FK
clopay.php,listado-marca,puerta-de-acero-acanalado-modelos-524.php,asociación de navegación literal; no equivale a FK
comercial.php,listado-estatico,centros-comerciales.php,asociación de navegación literal; no equivale a FK
comercial.php,listado-estatico,estacionamientos.php,asociación de navegación literal; no equivale a FK
comercial.php,listado-estatico,fraccionamientos-y-condominios.php,asociación de navegación literal; no equivale a FK
comercial.php,listado-estatico,receptor-para-control-vehiculos.php,asociación de navegación literal; no equivale a FK
contra-exposion.php,listado-estatico,puerta-contra-explosion.php,asociación de navegación literal; no equivale a FK
contra-incendio.php,listado-estatico,puertas-contra-incendio.php,asociación de navegación literal; no equivale a FK
cortinas-enrollables-industriales.php,listado-estatico,cortina-de-seguridad-670.php,asociación de navegación literal; no equivale a FK
cortinas-enrollables-industriales.php,listado-estatico,cortina-de-seguridad-671.php,asociación de navegación literal; no equivale a FK
cortinas-enrollables-industriales.php,listado-estatico,cortina-en-aluminio-serie-511-521.php,asociación de navegación literal; no equivale a FK
cortinas-enrollables-industriales.php,listado-estatico,cortina-europea.php,asociación de navegación literal; no equivale a FK
cortinas-enrollables-industriales.php,listado-estatico,cortina-plana.php,asociación de navegación literal; no equivale a FK
cortinas-enrollables-industriales.php,listado-estatico,cortina-serie-600.php,asociación de navegación literal; no equivale a FK
cortinas-enrollables-industriales.php,listado-estatico,cortina-serie-610.php,asociación de navegación literal; no equivale a FK
cortinas-enrollables-industriales.php,listado-estatico,cortina-serie-620.php,asociación de navegación literal; no equivale a FK
cortinas-enrollables-industriales.php,listado-estatico,cortina-serie-625.php,asociación de navegación literal; no equivale a FK
cortinas-enrollables-industriales.php,listado-estatico,cortina-serie-630.php,asociación de navegación literal; no equivale a FK
cortinas-enrollables-industriales.php,listado-estatico,cortina-serie-790-cw.php,asociación de navegación literal; no equivale a FK
cortinas-enrollables-industriales.php,listado-estatico,cortinas-ventiladas-685.php,asociación de navegación literal; no equivale a FK
cortinas-enrollables-industriales.php,listado-estatico,fire-rated-doors-firestar-models-700-700c.php,asociación de navegación literal; no equivale a FK
cortinas-enrollables-industriales.php,listado-estatico,vertigo.php,asociación de navegación literal; no equivale a FK
dockman.php,listado-marca,cortina-europea.php,asociación de navegación literal; no equivale a FK
dockman.php,listado-marca,cortina-plana.php,asociación de navegación literal; no equivale a FK
dockman.php,listado-marca,labio-de-elevacion-mecanico-dockman.php,asociación de navegación literal; no equivale a FK
dockman.php,listado-marca,puertas-industriales-dockman.php,asociación de navegación literal; no equivale a FK
dockman.php,listado-marca,rampas-de-anden-hidraulicas.php,asociación de navegación literal; no equivale a FK
dockman.php,listado-marca,rampas-de-anden-mecanicas.php,asociación de navegación literal; no equivale a FK
dockman.php,listado-marca,sellos-de-anden.php,asociación de navegación literal; no equivale a FK
doorlock.php,listado-marca,accesorios.php,asociación de navegación literal; no equivale a FK
doorlock.php,listado-marca,puerta-contra-explosion.php,asociación de navegación literal; no equivale a FK
doorlock.php,listado-marca,puerta-estandar-reforzada.php,asociación de navegación literal; no equivale a FK
doorlock.php,listado-marca,puerta-estandar.php,asociación de navegación literal; no equivale a FK
doorlock.php,listado-marca,puerta-holandesa.php,asociación de navegación literal; no equivale a FK
doorlock.php,listado-marca,puerta-para-hospital.php,asociación de navegación literal; no equivale a FK
doorlock.php,listado-marca,puerta-y-fijos-louver.php,asociación de navegación literal; no equivale a FK
doorlock.php,listado-marca,puertas-blindadas.php,asociación de navegación literal; no equivale a FK
doorlock.php,listado-marca,puertas-contra-incendio.php,asociación de navegación literal; no equivale a FK
doorlock.php,listado-marca,puertas-contra-rayos-x.php,asociación de navegación literal; no equivale a FK
equipos-y-accesorios-para-anden-de-carga.php,listado-estatico,labio-elevacion-anden-carga.php,asociación de navegación literal; no equivale a FK
equipos-y-accesorios-para-anden-de-carga.php,listado-estatico,rampa-niveladora.php,asociación de navegación literal; no equivale a FK
equipos-y-accesorios-para-anden-de-carga.php,listado-estatico,retenedores-de-vehiculos.php,asociación de navegación literal; no equivale a FK
equipos-y-accesorios-para-anden-de-carga.php,listado-estatico,sellos-para-anden.php,asociación de navegación literal; no equivale a FK
equipos-y-accesorios-para-anden-de-carga.php,listado-estatico,semaforos-senalizaciones-para-anden.php,asociación de navegación literal; no equivale a FK
estacionamientos.php,listado-estatico,barreras-estacionamiento-moovi50rm.php,asociación de navegación literal; no equivale a FK
estacionamientos.php,listado-estatico,icaro-smart.php,asociación de navegación literal; no equivale a FK
fraccionamientos-y-condominios.php,listado-estatico,barreras-estacionamiento-moovi50rm.php,asociación de navegación literal; no equivale a FK
fraccionamientos-y-condominios.php,listado-estatico,icaro-smart.php,asociación de navegación literal; no equivale a FK
glg-porte-industriali.php,listado-marca,kronos-puertas-rapidas-de-sectores-modulares-autorreparable.php,asociación de navegación literal; no equivale a FK
glg-porte-industriali.php,listado-marca,rolli-zip.php,asociación de navegación literal; no equivale a FK
glg-porte-industriali.php,listado-marca,vertigo.php,asociación de navegación literal; no equivale a FK
industrial.php,listado-estatico,cortinas-enrollables-industriales.php,asociación de navegación literal; no equivale a FK
industrial.php,listado-estatico,operadores-para-puerta-corrediza-industrial.php,asociación de navegación literal; no equivale a FK
industrial.php,listado-estatico,operadores-puerta-abatible-industrial.php,asociación de navegación literal; no equivale a FK
industrial.php,listado-estatico,operadores-puertas-seccionales-cortinas.php,asociación de navegación literal; no equivale a FK
industrial.php,listado-estatico,puertas-rapidas.php,asociación de navegación literal; no equivale a FK
industrial.php,listado-estatico,puertas-seccionales-industriales.php,asociación de navegación literal; no equivale a FK
industrial.php,listado-estatico,tiras-plasticas.php,asociación de navegación literal; no equivale a FK
infraca-quality-doors.php,listado-marca,rapida-apilable.php,asociación de navegación literal; no equivale a FK
