file,family,tag_count,ordered_tag_sha256,includes
1500-revolving-door.php,detalle-estatico,72,47cefce30b03add063144b6ee5eca2be1fb2dedd98a560c975a1879e7b3e6038,header.php | menu-soluciones.php | footer.php
accesorios.php,detalle-estatico,42,7ee82dc5ff09e15b54d2f31707a55bbf9f396b570187b1c07453e6d8e0c3cb47,header.php | menu-seccionales.php | footer.php
accesspro-fs1000speed.php,detalle-estatico,62,443c5a19f64ee859c06c9d88d2f7f0a6adbf989aeff12e4522fc81af3a990382,header.php | menu-soluciones.php | footer.php
automatismos-para-cancelas-cubic.php,detalle-estatico,47,f0ae8dd7adc0a74618a076530ae8b357c1697e025994f61298613fb8cfab07fc,header.php | menu-soluciones.php | footer.php
barreras-estacionamiento-moovi50rm.php,detalle-estatico,112,1e52f52468d7368b0c5c12b26fce1bb5d080550fd7dfc759c50d6101482d41b9,header.php | menu-soluciones.php | footer.php
bft-resp.php,listado-estatico,154,fb8595e60b481cc3b49e6c6872a8f791621036ec43486ecc822e6f0747c1dfc1,header.php | footer.php
bft.php,listado-marca,156,47ebcc86eb64990332db449d8c918182da65af4103a3a744ac15f78004972f9d,header.php | menu-marcas.php | footer.php
bix-al-antena-externa-433-mhz.php,detalle-estatico,37,c54801227bab7717a5d32d4c2c6c64bc9fbd989a041719d0790171fc47ef6db5,header.php | menu-soluciones.php | footer.php
blindadas.php,listado-estatico,49,c4c8f9e11bd450de6c2cc97eafcf51bf6d554f512deda5d1b11fd8120a7fcd8f,header.php | footer.php
blue-giant.php,listado-marca,247,778ac75858ee0471b734feabb09912527c022ad5dc65c9db58388a17b0c7bd67,header.php | menu-marcas.php | footer.php | footer.php
categorias.php,controlador-categorias,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,system/common.php
centros-comerciales.php,listado-estatico,261,7122c6e9917fb842b0cbc8ed9275b4eaddae7b1e15369dec9c6b86af01838a90,header.php | menu-soluciones.php | footer.php
clopay.php,listado-marca,114,5f792cfcfe9d0a17743d6946f94e0c0f4008233a3cf3f81d2b0666e17660515a,header.php | menu-marcas.php | footer.php
coleccion-classic.php,detalle-estatico,57,2704a7fcd03cb1721fb7eed2432950b8a348c96d35d11848e7cf6ccb0a75af17,header.php | menu-soluciones.php | footer.php
coleccion-modern-steel.php,detalle-estatico,77,5caf6fbb7b326c50b0d107d36460193ee8d61acfa2112e5d782114bfd013cc04,header.php | menu-seccionales.php | footer.php
com-programadores-digitales-y-rotativos.php,detalle-estatico,33,8d8a1c279c00f6f3ba4372967b3a9614076b295913b44ebb4c1420fd1ce98d81,header.php | menu-soluciones.php | footer.php
comercial.php,listado-estatico,112,7769c924258b811d5f6348f298d667d088b07fa9869e6835345ad9b4d3138c01,header.php | footer.php
contacto.php,contacto,116,66d7ce1b907d5cd7c1a0df810290f2db0abea1ffe755929a0326132ac75f1494,headerv1.php | enviaContacto.php | footer.php
contra-exposion.php,listado-estatico,49,c4c8f9e11bd450de6c2cc97eafcf51bf6d554f512deda5d1b11fd8120a7fcd8f,header.php | footer.php
contra-incendio.php,listado-estatico,49,c4c8f9e11bd450de6c2cc97eafcf51bf6d554f512deda5d1b11fd8120a7fcd8f,header.php | footer.php
cortina-de-seguridad-670.php,detalle-estatico,65,fcaf06007ecf50f9a93c14f646c9cd3d28f125a5c0fb0d4d9d5d62064c48f91f,header.php | menu-seccionales.php | footer.php
cortina-de-seguridad-671.php,detalle-estatico,64,73d895bb28447059a41f8f7de09dcfff12f552a0f0deb15d5edde60da598f203,header.php | menu-seccionales.php | footer.php
cortina-en-aluminio-serie-511-521.php,detalle-estatico,40,b35ae3caac930836b51cf0c72a056e8bc1a21f0a5495d06b32361522b21ac169,header.php | menu-seccionales.php | footer.php
cortina-europea.php,detalle-estatico,50,ab9d5ea216a2b9c63a6c58616e23a0815f75edb4f970a345745b1f0ec7fd58a8,header.php | menu-seccionales.php | footer.php
cortina-plana.php,detalle-estatico,48,79e684a81b5b85b49a9419681cf46c6361f5c95d22af308eaa2622c20388fafb,header.php | menu-soluciones.php | footer.php
cortina-serie-600.php,detalle-estatico,115,6dc696e45fa30df8855ab68a513f59f923c7d4af10c09d69d2c0c1a9c96d13a6,header.php | menu-seccionales.php | footer.php
cortina-serie-610.php,detalle-estatico,117,03710b433e14eb9835d4f8980b870c94c2e84d968ae8e359de38343a4fdaf630,header.php | menu-seccionales.php | footer.php
cortina-serie-620.php,detalle-estatico,132,236ffd381041a56230e484138ce9052fef5b98b74e91eb08e96b9e075ec3a841,header.php | menu-seccionales.php | footer.php
cortina-serie-625.php,detalle-estatico,43,b6a58d9664d8df94660d8ad45e87587939c90a13518acb1ee8c825ab9904c301,header.php | menu-seccionales.php | footer.php
cortina-serie-630.php,detalle-estatico,88,eda0604cbb4e6543234b7602659dfac5a2e12f1e238dd0c78547835b5615b50a,header.php | menu-seccionales.php | footer.php
cortina-serie-790-cw.php,detalle-estatico,127,6abba59a443f5488a069aefddc246d92ab5f50dc0198ff7785fb69b7aa19b2a4,header.php | menu-seccionales.php | footer.php
cortinas-enrollables-de-aluminio.php,detalle-estatico,41,3c4924ae108452a3e6575612ee026b15318f55bed34c9d38ec0de4fc2eb7a1b7,header.php | menu-soluciones.php | footer.php
cortinas-enrollables-industriales.php,listado-estatico,322,0340682ac7016e33106145d3e69bf7725b813e28868f0a65e13adff9b4b066a5,header.php | footer.php
cortinas-ventiladas-685.php,detalle-estatico,124,12801ace8fbbdcefdfe4c93a9db41d78e6fd39003e0c5aa5aeb0a98fbb042426,header.php | menu-seccionales.php | footer.php
cross-3e.php,detalle-estatico,48,46b9cb77198696b1447a72af62a772249ec128199b9bbb705530efb38ca57221,header.php | menu-seccionales.php | footer.php
detector-de-masas-max-eagle.php,detalle-estatico,39,4510c76ba4cd3aebbadeba0e8c0842438d98b83dbbf8a0c166250aaf8a18b3a5,header.php | menu-soluciones.php | footer.php
ditec-neos-y-neos.php,detalle-estatico,58,8a3b5118c00c32265c4685361d148b89fc0646747c8b4c26af4e4465fb804e5b,header.php | menu-seccionales.php | footer.php
dockman.php,listado-marca,178,7c1ee1ff98e7fd22f9674807b582d9fb5bd28fec8b2459acde0fb4ce496a3042,header.php | menu-marcas.php | footer.php
dod-automatizacion-compacto-y-potente-para-portones-seccionales-correderos-y-enrollables.php,detalle-estatico,52,11f4150f73e0de918463ac8083ca64063517fea05b540faecce625c531802369,header.php | menu-soluciones.php | footer.php
doorlock.php,listado-marca,240,c5b491305c7da3a390b358e9de03c6b5c6b5ac7932f5840a2d6d214b6269b347,header.php | menu-marcas.php | footer.php
dura-glide-20003000-puerta.php,detalle-estatico,74,aa39a671b048f43a3123b6811f9bdb357c7fb8c0963fc73c5b91849cef3d5679,header.php | menu-soluciones.php | footer.php
