legacy_file,legacy_url,classification,title,h1,template_family,database_dependency,proposed_wordpress_type,preserve_url,migration_priority,notes,related_product_ids,classification_confidence,evidence
1500-revolving-door.php,https://puertasyserviciosindustriales.com/1500-revolving-door.php,PRODUCT_PAGE,PSI | Puertas y Servicios Industriales,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Producto/familia solo en PHP; no hay correspondencia SQL fuerte; MUST preserve content,,STRONG_INFERENCE,page-source-evidence.json:1500-revolving-door.php
accesorios.php,https://puertasyserviciosindustriales.com/accesorios.php,PRODUCT_PAGE,Accesorios | Doorlock | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,27|138,STRONG_INFERENCE,page-source-evidence.json:accesorios.php
accesspro-fs1000speed.php,https://puertasyserviciosindustriales.com/accesspro-fs1000speed.php,PRODUCT_PAGE,AccessPRO FS1000SPEED | Overhead Door | Marcas ,Soluciones Residenciales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Hay paginas equivalentes candidatas; sin fusion ni redirect,1|109|110|114,STRONG_INFERENCE,page-source-evidence.json:accesspro-fs1000speed.php
automatismos-para-cancelas-cubic.php,https://puertasyserviciosindustriales.com/automatismos-para-cancelas-cubic.php,PRODUCT_PAGE,PSI | Puertas y Servicios Industriales,CUBIC Automatismos ocultos al piso.,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Producto/familia solo en PHP; no hay correspondencia SQL fuerte; MUST preserve content,,STRONG_INFERENCE,page-source-evidence.json:automatismos-para-cancelas-cubic.php
back-seccionales.php,https://puertasyserviciosindustriales.com/back-seccionales.php,LEGACY_INTERNAL,,,fragment/processor,No detected in own source/direct includes; content hardcoded,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,,,CONFIRMED,page-source-evidence.json:back-seccionales.php
barreras-estacionamiento-moovi50rm.php,https://puertasyserviciosindustriales.com/barreras-estacionamiento-moovi50rm.php,PRODUCT_PAGE,Barreras de estacionamiento MOOVI50RM | BFT | Marcas ,Productos Marca BFT,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,44|123|125|135,STRONG_INFERENCE,page-source-evidence.json:barreras-estacionamiento-moovi50rm.php
bft-resp.php,https://puertasyserviciosindustriales.com/bft-resp.php,BRAND_PAGE,PSI | Puertas y Servicios Industriales,Productos,listado-estatico,No detected in own source/direct includes; content hardcoded,BRAND_CONTENT,YES,HIGH,"Variante historica aparente; URL se conserva pendiente trafico, no declarada obsoleta",,CONFIRMED,page-source-evidence.json:bft-resp.php
bft.php,https://puertasyserviciosindustriales.com/bft.php,BRAND_PAGE,BTF | Marcas ,Marcas,listado-marca,No detected in own source/direct includes; content hardcoded,BRAND_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:bft.php
bix-al-antena-externa-433-mhz.php,https://puertasyserviciosindustriales.com/bix-al-antena-externa-433-mhz.php,PRODUCT_PAGE,PSI | Puertas y Servicios Industriales,Productos Marca BFT,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Producto/familia solo en PHP; no hay correspondencia SQL fuerte; MUST preserve content,,STRONG_INFERENCE,page-source-evidence.json:bix-al-antena-externa-433-mhz.php
blindadas.php,https://puertasyserviciosindustriales.com/blindadas.php,CATEGORY_PAGE,Puerta blindada | Puertas Blindadas,Puertas Blindadas,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:blindadas.php
blue-giant.php,https://puertasyserviciosindustriales.com/blue-giant.php,BRAND_PAGE,Blue Giant | Marcas ,Marcas|Productos,listado-marca,No detected in own source/direct includes; content hardcoded,BRAND_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:blue-giant.php
categorias.php,https://puertasyserviciosindustriales.com/categorias.php,UTILITY,,,controlador-categorias,categorias.php|system/common.php,REVIEW_INTERNAL_FUNCTION,YES,REVIEW,"Controlador dinamico, no pagina editorial autonoma",,CONFIRMED,page-source-evidence.json:categorias.php
centros-comerciales.php,https://puertasyserviciosindustriales.com/centros-comerciales.php,CATEGORY_PAGE,Puertas automáticas peatonales para centro comercial | Soluciones comerciales,Soluciones Comerciales,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:centros-comerciales.php
clopay.php,https://puertasyserviciosindustriales.com/clopay.php,BRAND_PAGE,Clopay | Marcas ,Marcas,listado-marca,No detected in own source/direct includes; content hardcoded,BRAND_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:clopay.php
coleccion-classic.php,https://puertasyserviciosindustriales.com/coleccion-classic.php,PRODUCT_PAGE,Colección Classic - Serie Premium | Overhead Door | Marcas ,Soluciones Residenciales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,9|108,STRONG_INFERENCE,page-source-evidence.json:coleccion-classic.php
coleccion-modern-steel.php,https://puertasyserviciosindustriales.com/coleccion-modern-steel.php,PRODUCT_PAGE,Puertas de garage Colección Modern Steel™ | Overhead Door | Marcas ,Puertas de garage,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,6|16|20|107,STRONG_INFERENCE,page-source-evidence.json:coleccion-modern-steel.php
com-programadores-digitales-y-rotativos.php,https://puertasyserviciosindustriales.com/com-programadores-digitales-y-rotativos.php,PRODUCT_PAGE,PSI | Puertas y Servicios Industriales,Productos Marca BFT,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Producto/familia solo en PHP; no hay correspondencia SQL fuerte; MUST preserve content,,STRONG_INFERENCE,page-source-evidence.json:com-programadores-digitales-y-rotativos.php
comercial.php,https://puertasyserviciosindustriales.com/comercial.php,CATEGORY_PAGE,Comerciales | Soluciones ,Soluciones,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:comercial.php
contacto.php,https://puertasyserviciosindustriales.com/contacto.php,CONTACT_PAGE,PSI | Puertas y Servicios Industriales,Contacto,contacto,headerv1.php|enviaContacto.php,CONTACT_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:contacto.php
contra-exposion.php,https://puertasyserviciosindustriales.com/contra-exposion.php,CATEGORY_PAGE,Puerta contra explosion | Contra explosion,Contra explosion,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:contra-exposion.php
contra-incendio.php,https://puertasyserviciosindustriales.com/contra-incendio.php,CATEGORY_PAGE,Puertas contra incendio | Contra incendio,Contra incendio,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:contra-incendio.php
cortina-de-seguridad-670.php,https://puertasyserviciosindustriales.com/cortina-de-seguridad-670.php,PRODUCT_PAGE,Cortina de seguridad 670 | Overhead Door | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,97,STRONG_INFERENCE,page-source-evidence.json:cortina-de-seguridad-670.php
cortina-de-seguridad-671.php,https://puertasyserviciosindustriales.com/cortina-de-seguridad-671.php,PRODUCT_PAGE,Cortina de seguridad 671 | Overhead Door | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,98,STRONG_INFERENCE,page-source-evidence.json:cortina-de-seguridad-671.php
cortina-en-aluminio-serie-511-521.php,https://puertasyserviciosindustriales.com/cortina-en-aluminio-serie-511-521.php,PRODUCT_PAGE,Cortina en aluminio serie 511 / 521 | Overhead Door | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,5|88,STRONG_INFERENCE,page-source-evidence.json:cortina-en-aluminio-serie-511-521.php
cortina-europea.php,https://puertasyserviciosindustriales.com/cortina-europea.php,PRODUCT_PAGE,Cortina Europea | Dockman | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,55|90|137,STRONG_INFERENCE,page-source-evidence.json:cortina-europea.php
cortina-plana.php,https://puertasyserviciosindustriales.com/cortina-plana.php,PRODUCT_PAGE,Cortinas enrollables industriales | Dockman | Marcas ,Soluciones Residenciales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,54|89|136,STRONG_INFERENCE,page-source-evidence.json:cortina-plana.php
cortina-serie-600.php,https://puertasyserviciosindustriales.com/cortina-serie-600.php,PRODUCT_PAGE,Cortina serie 600 | Overhead Door | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,10|93|127,STRONG_INFERENCE,page-source-evidence.json:cortina-serie-600.php
cortina-serie-610.php,https://puertasyserviciosindustriales.com/cortina-serie-610.php,PRODUCT_PAGE,Cortina serie 610 | Overhead Door | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,95,STRONG_INFERENCE,page-source-evidence.json:cortina-serie-610.php
cortina-serie-620.php,https://puertasyserviciosindustriales.com/cortina-serie-620.php,PRODUCT_PAGE,Cortina serie 620 | Overhead Door | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Hay paginas equivalentes candidatas; sin fusion ni redirect,7|91,STRONG_INFERENCE,page-source-evidence.json:cortina-serie-620.php
cortina-serie-625.php,https://puertasyserviciosindustriales.com/cortina-serie-625.php,PRODUCT_PAGE,Cortina serie 625 | Overhead Door | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,4|87,STRONG_INFERENCE,page-source-evidence.json:cortina-serie-625.php
cortina-serie-630.php,https://puertasyserviciosindustriales.com/cortina-serie-630.php,PRODUCT_PAGE,Cortina serie 630-631-634-635 | Overhead Door | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,11|94,STRONG_INFERENCE,page-source-evidence.json:cortina-serie-630.php
cortina-serie-790-cw.php,https://puertasyserviciosindustriales.com/cortina-serie-790-cw.php,PRODUCT_PAGE,Cortina serie 790 CW | Overhead Door | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,92,STRONG_INFERENCE,page-source-evidence.json:cortina-serie-790-cw.php
cortinas-enrollables-de-aluminio.php,https://puertasyserviciosindustriales.com/cortinas-enrollables-de-aluminio.php,SEO_LANDING,PSI | Puertas y Servicios Industriales,Soluciones Residenciales,detalle-estatico,No detected in own source/direct includes; content hardcoded,EDITORIAL_CONTENT,YES,HIGH,"Contenido compuesto/de gama; finalidad SEO es inferencia editorial, no dato SQL",,STRONG_INFERENCE,page-source-evidence.json:cortinas-enrollables-de-aluminio.php
cortinas-enrollables-industriales.php,https://puertasyserviciosindustriales.com/cortinas-enrollables-industriales.php,CATEGORY_PAGE,Cortinas enrollables industriales | Soluciones ,Soluciones Residenciales,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:cortinas-enrollables-industriales.php
cortinas-ventiladas-685.php,https://puertasyserviciosindustriales.com/cortinas-ventiladas-685.php,PRODUCT_PAGE,Cortinas ventiladas 685 | Overhead Door | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,96|128,STRONG_INFERENCE,page-source-evidence.json:cortinas-ventiladas-685.php
cross-3e.php,https://puertasyserviciosindustriales.com/cross-3e.php,PRODUCT_PAGE,PSI | Puertas y Servicios Industriales,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Producto/familia solo en PHP; no hay correspondencia SQL fuerte; MUST preserve content,,STRONG_INFERENCE,page-source-evidence.json:cross-3e.php
detector-de-masas-max-eagle.php,https://puertasyserviciosindustriales.com/detector-de-masas-max-eagle.php,PRODUCT_PAGE,PSI | Puertas y Servicios Industriales,Productos Marca BFT,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Producto/familia solo en PHP; no hay correspondencia SQL fuerte; MUST preserve content,,STRONG_INFERENCE,page-source-evidence.json:detector-de-masas-max-eagle.php
ditec-neos-y-neos.php,https://puertasyserviciosindustriales.com/ditec-neos-y-neos.php,PRODUCT_PAGE,PSI | Puertas y Servicios Industriales,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Producto/familia solo en PHP; no hay correspondencia SQL fuerte; MUST preserve content,,STRONG_INFERENCE,page-source-evidence.json:ditec-neos-y-neos.php
dockman.php,https://puertasyserviciosindustriales.com/dockman.php,BRAND_PAGE,Dockman | Marcas ,Marcas,listado-marca,No detected in own source/direct includes; content hardcoded,BRAND_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:dockman.php
dod-automatizacion-compacto-y-potente-para-portones-seccionales-correderos-y-enrollables.php,https://puertasyserviciosindustriales.com/dod-automatizacion-compacto-y-potente-para-portones-seccionales-correderos-y-enrollables.php,PRODUCT_PAGE,PSI | Puertas y Servicios Industriales,"DOD – Automatización compacto y potente para portones seccionales, correderos y enrollables",detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Producto/familia solo en PHP; no hay correspondencia SQL fuerte; MUST preserve content,,STRONG_INFERENCE,page-source-evidence.json:dod-automatizacion-compacto-y-potente-para-portones-seccionales-correderos-y-enrollables.php
doorlock.php,https://puertasyserviciosindustriales.com/doorlock.php,BRAND_PAGE,Doorlock | Marcas ,Marcas,listado-marca,No detected in own source/direct includes; content hardcoded,BRAND_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:doorlock.php
dura-glide-20003000-puerta.php,https://puertasyserviciosindustriales.com/dura-glide-20003000-puerta.php,PRODUCT_PAGE,PSI | Puertas y Servicios Industriales,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Producto/familia solo en PHP; no hay correspondencia SQL fuerte; MUST preserve content,,STRONG_INFERENCE,page-source-evidence.json:dura-glide-20003000-puerta.php
energy-series-with-intellicore-37171-3-4.php,https://puertasyserviciosindustriales.com/energy-series-with-intellicore-37171-3-4.php,PRODUCT_PAGE,ENERGY SERIES WITH INTELLICORE® 3717 1 3/4″ | Clopay | Marcas ,Soluciones Residenciales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,2|17,STRONG_INFERENCE,page-source-evidence.json:energy-series-with-intellicore-37171-3-4.php
energy-series-with-intellicore-3720-3724-3722.php,https://puertasyserviciosindustriales.com/energy-series-with-intellicore-3720-3724-3722.php,PRODUCT_PAGE,ENERGY SERIES WITH INTELLICORE® 3720 /3724 / 3722 | Clopay | Marcas ,Soluciones Residenciales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,19|61,STRONG_INFERENCE,page-source-evidence.json:energy-series-with-intellicore-3720-3724-3722.php
enviaContacto.php,https://puertasyserviciosindustriales.com/enviaContacto.php,UTILITY,,,fragment/processor,enviaContacto.php,REVIEW_INTERNAL_FUNCTION,YES,REVIEW,,,CONFIRMED,page-source-evidence.json:enviaContacto.php
equipos-y-accesorios-para-anden-de-carga.php,https://puertasyserviciosindustriales.com/equipos-y-accesorios-para-anden-de-carga.php,CATEGORY_PAGE,Equipos y Accesorios para Anden de Carga | Soluciones comerciales,EQUIPOS Y ACCESORIOS PARA,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:equipos-y-accesorios-para-anden-de-carga.php
estacionamientos.php,https://puertasyserviciosindustriales.com/estacionamientos.php,CATEGORY_PAGE,Estacionamientos | Soluciones comerciales,Soluciones Comerciales,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:estacionamientos.php
fast-seal-high-performance-door.php,https://puertasyserviciosindustriales.com/fast-seal-high-performance-door.php,PRODUCT_PAGE,Fast-Seal® High Performance Door | Rytec | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,36|101,STRONG_INFERENCE,page-source-evidence.json:fast-seal-high-performance-door.php
fire-rated-doors-firestar-models-700-700c.php,https://puertasyserviciosindustriales.com/fire-rated-doors-firestar-models-700-700c.php,PRODUCT_PAGE,Fire Rated Doors FireStar® Models 700 & 700c | Wayne Dalton | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,13|99,STRONG_INFERENCE,page-source-evidence.json:fire-rated-doors-firestar-models-700-700c.php
footer.php,https://puertasyserviciosindustriales.com/footer.php,LEGACY_INTERNAL,,,fragment/processor,No detected in own source/direct includes; content hardcoded,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,,,CONFIRMED,page-source-evidence.json:footer.php
footerv1.php,https://puertasyserviciosindustriales.com/footerv1.php,LEGACY_INTERNAL,,,fragment/processor,footerv1.php,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,,,CONFIRMED,page-source-evidence.json:footerv1.php
fotoceldas.php,https://puertasyserviciosindustriales.com/fotoceldas.php,PRODUCT_PAGE,PSI | Puertas y Servicios Industriales,Productos Marca BFT,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Producto/familia solo en PHP; no hay correspondencia SQL fuerte; MUST preserve content,,STRONG_INFERENCE,page-source-evidence.json:fotoceldas.php
fraccionamientos-y-condominios.php,https://puertasyserviciosindustriales.com/fraccionamientos-y-condominios.php,CATEGORY_PAGE,Fraccionamientos y Condominios | Soluciones ,Soluciones Comerciales,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:fraccionamientos-y-condominios.php
glg-porte-industriali.php,https://puertasyserviciosindustriales.com/glg-porte-industriali.php,BRAND_PAGE,GLG Porte Industriali | Marcas ,Marcas,listado-marca,No detected in own source/direct includes; content hardcoded,BRAND_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:glg-porte-industriali.php
gol-transmisores-de-cuatro-canales.php,https://puertasyserviciosindustriales.com/gol-transmisores-de-cuatro-canales.php,PRODUCT_PAGE,PSI | Puertas y Servicios Industriales,Productos Marca BFT,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Producto/familia solo en PHP; no hay correspondencia SQL fuerte; MUST preserve content,,STRONG_INFERENCE,page-source-evidence.json:gol-transmisores-de-cuatro-canales.php
header.php,https://puertasyserviciosindustriales.com/header.php,LEGACY_INTERNAL,,,fragment/processor,No detected in own source/direct includes; content hardcoded,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,,,CONFIRMED,page-source-evidence.json:header.php
headerv1.php,https://puertasyserviciosindustriales.com/headerv1.php,LEGACY_INTERNAL,,,fragment/processor,headerv1.php|system/common.php,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,,,CONFIRMED,page-source-evidence.json:headerv1.php
icaro-smart.php,https://puertasyserviciosindustriales.com/icaro-smart.php,PRODUCT_PAGE,ICARO SMART AC A2000 120 | BFT | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,49|76|124|126,STRONG_INFERENCE,page-source-evidence.json:icaro-smart.php
iconos-marcas.php,https://puertasyserviciosindustriales.com/iconos-marcas.php,LEGACY_INTERNAL,,,fragment/processor,No detected in own source/direct includes; content hardcoded,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,,,CONFIRMED,page-source-evidence.json:iconos-marcas.php
iconos-marcasv1.php,https://puertasyserviciosindustriales.com/iconos-marcasv1.php,LEGACY_INTERNAL,,,fragment/processor,iconos-marcasv1.php,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,,,CONFIRMED,page-source-evidence.json:iconos-marcasv1.php
index-estatico.php,https://puertasyserviciosindustriales.com/index-estatico.php,INSTITUTIONAL_PAGE,PSI | Puertas y Servicios Industriales,"Bienvenidos a nuestro sitio web .|Venta, instalación y mantenimiento de puertas automáticas|Venta, instalación y mantenimiento de rampas para Taller o Niveladoras de Andén|Venta, instalación y mantenimiento de rampas para Taller o Niveladoras de Andén",inicio,No detected in own source/direct includes; content hardcoded,EDITORIAL_CONTENT,YES,HIGH,"Variante historica aparente; URL se conserva pendiente trafico, no declarada obsoleta",,CONFIRMED,page-source-evidence.json:index-estatico.php
index-resp.php,https://puertasyserviciosindustriales.com/index-resp.php,INSTITUTIONAL_PAGE,PSI | Puertas y Servicios Industriales,"Bienvenidos a nuestro sitio web .|Venta, instalación y mantenimiento de puertas automáticas|Venta, instalación y mantenimiento de rampas para Taller o Niveladoras de Andén",inicio,No detected in own source/direct includes; content hardcoded,EDITORIAL_CONTENT,YES,HIGH,"Variante historica aparente; URL se conserva pendiente trafico, no declarada obsoleta",,CONFIRMED,page-source-evidence.json:index-resp.php
index.php,https://puertasyserviciosindustriales.com/index.php,INSTITUTIONAL_PAGE,PSI | Puertas y Servicios Industriales,"Bienvenidos a nuestro sitio web .|Venta, instalación y mantenimiento de puertas automáticas|Venta, instalación y mantenimiento de rampas para Taller o Niveladoras de Andén|Venta, instalación y mantenimiento de rampas para Taller o Niveladoras de Andén",inicio,index.php|headerv1.php|iconos-marcasv1.php|footerv1.php,EDITORIAL_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:index.php
industrial.php,https://puertasyserviciosindustriales.com/industrial.php,CATEGORY_PAGE,Industriales | Soluciones ,Soluciones,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:industrial.php
infraca-quality-doors.php,https://puertasyserviciosindustriales.com/infraca-quality-doors.php,BRAND_PAGE,Infraca Quality Doors | Marcas ,Marcas,listado-marca,No detected in own source/direct includes; content hardcoded,BRAND_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:infraca-quality-doors.php
kelley.php,https://puertasyserviciosindustriales.com/kelley.php,BRAND_PAGE,Kelley | Marcas ,Marcas,listado-marca,No detected in own source/direct includes; content hardcoded,BRAND_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:kelley.php
kronos-puertas-rapidas-de-sectores-modulares-autorreparable.php,https://puertasyserviciosindustriales.com/kronos-puertas-rapidas-de-sectores-modulares-autorreparable.php,PRODUCT_PAGE,ALUMINA – Puertas rápidas autorreparable | GLG Porte Industriali | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,41|106,STRONG_INFERENCE,page-source-evidence.json:kronos-puertas-rapidas-de-sectores-modulares-autorreparable.php
lab-4-fotocelulas-de-rayos-infrarrojos.php,https://puertasyserviciosindustriales.com/lab-4-fotocelulas-de-rayos-infrarrojos.php,PRODUCT_PAGE,PSI | Puertas y Servicios Industriales,Productos Marca BFT,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Producto/familia solo en PHP; no hay correspondencia SQL fuerte; MUST preserve content,,STRONG_INFERENCE,page-source-evidence.json:lab-4-fotocelulas-de-rayos-infrarrojos.php
lab-9-detectores-de-volumen-de-metal-loop.php,https://puertasyserviciosindustriales.com/lab-9-detectores-de-volumen-de-metal-loop.php,PRODUCT_PAGE,PSI | Puertas y Servicios Industriales,Productos Marca BFT,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Producto/familia solo en PHP; no hay correspondencia SQL fuerte; MUST preserve content,,STRONG_INFERENCE,page-source-evidence.json:lab-9-detectores-de-volumen-de-metal-loop.php
labio-de-elevacion-mecanico-dockman.php,https://puertasyserviciosindustriales.com/labio-de-elevacion-mecanico-dockman.php,PRODUCT_PAGE,Labio de elevación mecánico | Dockman | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,51|143,STRONG_INFERENCE,page-source-evidence.json:labio-de-elevacion-mecanico-dockman.php
labio-elevacion-anden-carga.php,https://puertasyserviciosindustriales.com/labio-elevacion-anden-carga.php,CATEGORY_PAGE,Labio de elevación | Equipos y Accesorios para Anden de Carga ,Equipos y Accesorios para Anden de Carga,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:labio-elevacion-anden-carga.php
lan-4-sistema-de-teclado-con-combinacion-digital.php,https://puertasyserviciosindustriales.com/lan-4-sistema-de-teclado-con-combinacion-digital.php,PRODUCT_PAGE,PSI | Puertas y Servicios Industriales,Productos Marca BFT,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Producto/familia solo en PHP; no hay correspondencia SQL fuerte; MUST preserve content,,STRONG_INFERENCE,page-source-evidence.json:lan-4-sistema-de-teclado-con-combinacion-digital.php
