product_id,product_name,php,name_exact,name_similarity,shared_image_hashes,shared_pdf_hashes,description_overlap,description_shingles,score,template
1,AccessPRO FS1000SPEED,accesspro-fs1000speed.php,True,1.0,1,1,0.929,84,15,detalle-estatico
1,AccessPRO FS1000SPEED,q-silent-max-eagle-3-4-hp.php,True,1.0,1,1,0.929,84,15,detalle-estatico
1,AccessPRO FS1000SPEED,operadores-puerta-abatible.php,True,1.0,0,1,0.929,84,12,detalle-estatico
1,AccessPRO FS1000SPEED,operadores-puerta-corrediza-residencial.php,True,1.0,0,1,0.929,84,12,detalle-estatico
1,AccessPRO FS1000SPEED,operadores-puertas-ascendentes.php,True,1.0,0,1,0.929,84,12,detalle-estatico
2,"Energy Series With INTELLICOREÂ® 3717 1 3/4""",energy-series-with-intellicore-37171-3-4.php,True,1.0,1,2,0.973,298,18,detalle-estatico
2,"Energy Series With INTELLICOREÂ® 3717 1 3/4""",puertas-seccionales-industriales.php,False,0.356,1,0,0.013,298,3.712,listado-estatico
2,"Energy Series With INTELLICOREÂ® 3717 1 3/4""",puertas-residenciales.php,False,0.306,1,0,0.0,298,3.611,detalle-estatico
2,"Energy Series With INTELLICOREÂ® 3717 1 3/4""",puerta-de-acero-acanalado.php,False,0.286,1,0,0.01,298,3.571,detalle-estatico
2,"Energy Series With INTELLICOREÂ® 3717 1 3/4""",industrial.php,False,0.226,1,0,0.0,298,3.453,listado-estatico
3,NIVELADOR DE ANDÃ‰N HIDRÃULICO SERIE HP,rampas-de-anden-hidraulicas-kelley.php,False,0.949,1,1,0.556,333,9.897,detalle-estatico
3,NIVELADOR DE ANDÃ‰N HIDRÃULICO SERIE HP,rampa-niveladora.php,False,0.357,1,0,0.0,333,3.714,listado-estatico
3,NIVELADOR DE ANDÃ‰N HIDRÃULICO SERIE HP,equipos-y-accesorios-para-anden-de-carga.php,False,0.296,1,0,0.0,333,3.593,listado-estatico
3,NIVELADOR DE ANDÃ‰N HIDRÃULICO SERIE HP,kelley.php,False,0.13,1,0,0.0,333,3.261,listado-marca
4,Cortina serie 625,cortina-serie-625.php,True,1.0,1,1,0.93,100,15,detalle-estatico
4,Cortina serie 625,cortinas-enrollables-industriales.php,False,0.486,1,0,0.0,100,3.973,listado-estatico
4,Cortina serie 625,overhead-door.php,False,0.133,1,0,0.0,100,3.267,listado-marca
4,Cortina serie 625,cortina-serie-620.php,False,0.941,0,0,0.0,100,1.882,detalle-estatico
4,Cortina serie 625,serie-620.php,False,0.941,0,0,0.0,100,1.882,detalle-estatico
5,Cortina en aluminio serie 511/521,cortina-en-aluminio-serie-511-521.php,True,1.0,1,1,1.0,69,15,detalle-estatico
5,Cortina en aluminio serie 511/521,cortinas-enrollables-industriales.php,False,0.491,1,0,0.0,69,3.981,listado-estatico
5,Cortina en aluminio serie 511/521,overhead-door.php,False,0.087,1,0,0.0,69,3.174,listado-marca
5,Cortina en aluminio serie 511/521,puertas-seccionales-de-aluminio-521.php,False,0.615,0,0,0.0,69,1.231,detalle-estatico
5,Cortina en aluminio serie 511/521,cortina-serie-610.php,False,0.6,0,0,0.0,69,1.2,detalle-estatico
6,ColecciÃ³n Modern Steelâ„¢,coleccion-modern-steel.php,True,1.0,3,1,0.947,304,18,detalle-estatico
6,ColecciÃ³n Modern Steelâ„¢,puertas-residenciales.php,True,1.0,0,0,0.944,304,9,detalle-estatico
6,ColecciÃ³n Modern Steelâ„¢,overhead-door.php,False,0.229,1,0,0.0,304,3.457,listado-marca
6,ColecciÃ³n Modern Steelâ„¢,wayne-dalton.php,False,0.176,1,0,0.0,304,3.353,listado-marca
6,ColecciÃ³n Modern Steelâ„¢,clopay.php,False,0.143,1,0,0.0,304,3.286,listado-marca
7,Cortina serie 620,cortina-serie-620.php,True,1.0,1,1,1.0,296,15,detalle-estatico
7,Cortina serie 620,serie-620.php,True,1.0,0,0,1.0,296,9,detalle-estatico
7,Cortina serie 620,cortina-serie-610.php,False,0.941,0,0,0.466,296,3.882,detalle-estatico
7,Cortina serie 620,overhead-door.php,False,0.133,1,0,0.0,296,3.267,listado-marca
7,Cortina serie 620,cortina-serie-600.php,False,0.941,0,0,0.071,296,1.882,detalle-estatico
8,Thermacore serie 592,puerta-seccional-de-acero-thermacore-serie-592.php,True,1.0,1,1,1.0,283,15,detalle-estatico
8,Thermacore serie 592,puertas-seccionales-industriales.php,False,0.41,1,0,0.0,283,3.821,listado-estatico
8,Thermacore serie 592,overhead-door.php,False,0.303,1,0,0.0,283,3.606,listado-marca
8,Thermacore serie 592,puertas-seccionales-de-acero-thermacore-598-uso-liviano.php,False,0.765,0,0,0.0,283,1.529,detalle-estatico
