legacy_product_id,legacy_php,legacy_url,name,proposed_slug,category_id,category_confidence,brand_id,brand_confidence,images,technical_pdf,video,template_family,source_of_relationship,migration_status,notes
,1500-revolving-door.php,https://puertasyserviciosindustriales.com/1500-revolving-door.php,Puerta Holandesa,1500-revolving-door,,UNKNOWN,,UNKNOWN,images/revolving.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,automatismos-para-cancelas-cubic.php,https://puertasyserviciosindustriales.com/automatismos-para-cancelas-cubic.php,CUBIC Automatismos ocultos al piso.,automatismos-para-cancelas-cubic,,UNKNOWN,,UNKNOWN,images/piso.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,bix-al-antena-externa-433-mhz.php,https://puertasyserviciosindustriales.com/bix-al-antena-externa-433-mhz.php,BIX AL – Antena externa 433 MHz,bix-al-antena-externa-433-mhz,,UNKNOWN,,UNKNOWN,images/bix.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,com-programadores-digitales-y-rotativos.php,https://puertasyserviciosindustriales.com/com-programadores-digitales-y-rotativos.php,COM – Programadores digitales y rotativos,com-programadores-digitales-y-rotativos,,UNKNOWN,,UNKNOWN,images/com.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,cross-3e.php,https://puertasyserviciosindustriales.com/cross-3e.php,Cross 30E|EL AUTOMATISMO ENSAYADO PARA DURAR,cross-3e,,UNKNOWN,,UNKNOWN,images/cross-3e.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,detector-de-masas-max-eagle.php,https://puertasyserviciosindustriales.com/detector-de-masas-max-eagle.php,DETECTOR DE MASAS MAX EAGLE,detector-de-masas-max-eagle,,UNKNOWN,,UNKNOWN,images/detector.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,ditec-neos-y-neos.php,https://puertasyserviciosindustriales.com/ditec-neos-y-neos.php,"Ditec NeoS y NeoS+|EL AUTOMATISMO INTELIGENTE, SEGURO Y VERSÁTIL",ditec-neos-y-neos,,UNKNOWN,,UNKNOWN,images/cross-3e.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,dod-automatizacion-compacto-y-potente-para-portones-seccionales-correderos-y-enrollables.php,https://puertasyserviciosindustriales.com/dod-automatizacion-compacto-y-potente-para-portones-seccionales-correderos-y-enrollables.php,"DOD – Automatización compacto y potente para portones seccionales, correderos y enrollables",dod-automatizacion-compacto-y-potente-para-portones-seccionales-correderos-y-enrollables,,UNKNOWN,,UNKNOWN,images/dod.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,dura-glide-20003000-puerta.php,https://puertasyserviciosindustriales.com/dura-glide-20003000-puerta.php,Dura-Glide 2000/3000 Puerta,dura-glide-20003000-puerta,,UNKNOWN,,UNKNOWN,images/dura.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,fotoceldas.php,https://puertasyserviciosindustriales.com/fotoceldas.php,FOTOCELDAS EMIR-60,fotoceldas,,UNKNOWN,,UNKNOWN,images/fotoceldas.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
