source,line,url_expression,note
1500-revolving-door.php,8,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
accesorios.php,11,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
accesspro-fs1000speed.php,11,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
automatismos-para-cancelas-cubic.php,11,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
barreras-estacionamiento-moovi50rm.php,8,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
bft-resp.php,5,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
bft.php,11,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
bix-al-antena-externa-433-mhz.php,8,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
blindadas.php,8,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
blue-giant.php,11,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
blue-giant.php,101,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
centros-comerciales.php,11,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
clopay.php,11,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
coleccion-classic.php,7,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
coleccion-modern-steel.php,14,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
com-programadores-digitales-y-rotativos.php,8,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
comercial.php,8,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
contacto.php,12,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
contra-exposion.php,8,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
contra-incendio.php,8,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
cortina-de-seguridad-670.php,11,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
cortina-de-seguridad-671.php,11,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
cortina-en-aluminio-serie-511-521.php,11,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
cortina-europea.php,11,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
cortina-plana.php,8,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
cortina-serie-600.php,11,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
cortina-serie-610.php,11,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
cortina-serie-620.php,11,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
cortina-serie-625.php,11,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
cortina-serie-630.php,11,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
cortina-serie-790-cw.php,11,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
cortinas-enrollables-de-aluminio.php,8,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
cortinas-enrollables-industriales.php,8,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
cortinas-ventiladas-685.php,11,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
cross-3e.php,8,images/banner1.jpg,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
css/icon.css,8432,../fonts/fa-brands-400.woff2,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
css/icon.css,8432,../fonts/fa-brands-400.ttf,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
css/icon.css,10521,../fonts/fa-regular-400.woff2,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
css/icon.css,10521,../fonts/fa-regular-400.ttf,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
css/icon.css,10538,../fonts/fa-solid-900.woff2,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
css/icon.css,10538,../fonts/fa-solid-900.ttf,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
css/icon.css,10549,../fonts/fa-brands-400.woff2,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
css/icon.css,10549,../fonts/fa-brands-400.ttf,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
css/icon.css,10555,../fonts/fa-solid-900.woff2,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
css/icon.css,10555,../fonts/fa-solid-900.ttf,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
css/icon.css,10561,../fonts/fa-regular-400.woff2,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
css/icon.css,10561,../fonts/fa-regular-400.ttf,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
css/icon.css,10566,../fonts/fa-solid-900.woff2,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
css/icon.css,10566,../fonts/fa-solid-900.ttf,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
css/icon.css,10571,../fonts/fa-brands-400.woff2,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
css/icon.css,10571,../fonts/fa-brands-400.ttf,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
css/icon.css,10576,../fonts/fa-regular-400.woff2,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
css/icon.css,10576,../fonts/fa-regular-400.ttf,referencia CSS literal; puede estar en comentario/vendor; no prueba uso
