source,src,alt,alt_present
1500-revolving-door.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
1500-revolving-door.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
1500-revolving-door.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
1500-revolving-door.php,images/revolving.jpg,,True
1500-revolving-door.php,images/logo-white@2x.png,PSI,True
accesorios.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
accesorios.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
accesorios.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
accesorios.php,images/verficha.png,Ver ficha técnica,True
accesorios.php,images/accesorios.png,,True
accesorios.php,images/logo-white@2x.png,PSI,True
accesspro-fs1000speed.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
accesspro-fs1000speed.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
accesspro-fs1000speed.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
accesspro-fs1000speed.php,images/verficha.png,Ver ficha técnica,True
accesspro-fs1000speed.php,images/accesspro.jpg,AccessPRO FS1000SPEED,True
accesspro-fs1000speed.php,images/logo-white@2x.png,PSI,True
automatismos-para-cancelas-cubic.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
automatismos-para-cancelas-cubic.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
automatismos-para-cancelas-cubic.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
automatismos-para-cancelas-cubic.php,images/piso.jpg,CUBIC Automatismos ocultos al piso.,True
automatismos-para-cancelas-cubic.php,images/logo-white@2x.png,PSI,True
barreras-estacionamiento-moovi50rm.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
barreras-estacionamiento-moovi50rm.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
barreras-estacionamiento-moovi50rm.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
barreras-estacionamiento-moovi50rm.php,images/verficha.png,Ver ficha técnica,True
barreras-estacionamiento-moovi50rm.php,images/moovi50rm.png,Barreras de estacionamiento MOOVI50RM,True
barreras-estacionamiento-moovi50rm.php,images/logo-white@2x.png,PSI,True
bft-resp.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
bft-resp.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
bft-resp.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
bft-resp.php,images/moovi50rm.png,Barreras de estacionamiento MOOVI50RM,True
bft-resp.php,images/seriex130.jpg,,True
bft-resp.php,images/phobos-piston.jpg,,True
bft-resp.php,images/lux2b.jpg,,True
bft-resp.php,images/Icaro.png,ICARO SMART AC A2000 120,True
bft-resp.php,images/p457.jpg,"P4,5-7 Piston Hidraulico para puerta abatible",True
bft-resp.php,images/logo-white@2x.png,PSI,True
bft.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
bft.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
bft.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
bft.php,images/moovi50rm.png,Barreras de estacionamiento MOOVI50RM,True
bft.php,images/seriex130.jpg,SERIE X130 Motor para cortina oculto,True
bft.php,images/phobos-piston.jpg,PHOBOS N Piston Electromecanico,True
bft.php,images/lux2b.jpg,LUX 2B y Lux GV Piston hidraulico para puerta abatible,True
bft.php,images/Icaro.png,ICARO SMART AC A2000 120,True
bft.php,images/p457.jpg,"P4,5-7 Piston Hidraulico para puerta abatible",True
bft.php,images/logo-white@2x.png,PSI,True
bix-al-antena-externa-433-mhz.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
bix-al-antena-externa-433-mhz.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
bix-al-antena-externa-433-mhz.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
bix-al-antena-externa-433-mhz.php,images/bix.jpg,Bix,True
bix-al-antena-externa-433-mhz.php,images/logo-white@2x.png,PSI,True
blindadas.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
blindadas.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
blindadas.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
blindadas.php,images/blindadas.jpg,Puerta contra explosion,True
blindadas.php,images/logo-white@2x.png,PSI,True
blue-giant.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
blue-giant.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
blue-giant.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
blue-giant.php,images/Stationary_Dock_Shelter_300px-1.jpg,SHELTER ABRIGO ESTACIONARIO Blue Giant,True
blue-giant.php,images/retenedor.jpg,RETENEDOR DE VEHICULOS ( electrico) MOD HVR303 StrongArm™,True
blue-giant.php,images/M_DockLeveler_300px.png,RAMPA NIVELADORA MECÁNICA BLUE GIANT,True
blue-giant.php,images/logo-white@2x.png,PSI,True
blue-giant.php,images/moovi50rm.png,Barreras de estacionamiento MOOVI50RM,True
blue-giant.php,images/seriex130.jpg,SERIE X130 Motor para cortina oculto,True
blue-giant.php,images/phobos-piston.jpg,PHOBOS N Piston Electromecanico,True
blue-giant.php,images/lux2b.jpg,LUX 2B y Lux GV Piston hidraulico para puerta abatible,True
blue-giant.php,images/Icaro.png,ICARO SMART AC A2000 120,True
blue-giant.php,images/p457.jpg,"P4,5-7 Piston Hidraulico para puerta abatible",True
blue-giant.php,images/logo-white@2x.png,PSI,True
centros-comerciales.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
centros-comerciales.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
centros-comerciales.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
centros-comerciales.php,images/rolling-service-door-600.jpg,Cortina serie 600,True
centros-comerciales.php,images/cortina-685.jpg,Cortinas ventiladas 685,True
centros-comerciales.php,images/blindadas.jpg,Puertas blindadas,True
centros-comerciales.php,images/Puerta-contra-incendio.jpg,Puertas contra incendio,True
centros-comerciales.php,images/estandar.jpg,Puerta estándar,True
centros-comerciales.php,images/Puerta_Standar_Reforzada.png,Puerta estándar reforzada,True
centros-comerciales.php,images/puerta-holandesa.jpg,Puerta Holandesa,True
centros-comerciales.php,images/puerta-metalica-louver.png,Puerta y fijos Louver,True
centros-comerciales.php,images/moovi50rm.png,Barreras de estacionamiento MOOVI50RM,True
centros-comerciales.php,images/cortina.jpg,Cortina Plana,True
centros-comerciales.php,images/cortina_europea.png,Cortina Europea,True
centros-comerciales.php,images/logo-white@2x.png,PSI,True
clopay.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
clopay.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
clopay.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
clopay.php,images/317.jpg,"ENERGY SERIES WITH INTELLICORE® 3717 1 3/4″, 3720 /3724 / 3722",True
clopay.php,images/industrial-series-520-deep-ribbed-24x12-window-white-garage-door.jpg,"Puertas de acero acanalado modelos 524, 524V, 524S",True
clopay.php,images/energy-series-intellicore-824x610-1.jpg,ENERGY SERIES WITH INTELLICORE® 3720 /3724 / 3722,True
clopay.php,images/foto_puertas_lisa-1.png,Colección Modern Steel™,True
clopay.php,images/logo-white@2x.png,PSI,True
coleccion-classic.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
coleccion-classic.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
coleccion-classic.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
coleccion-classic.php,images/verficha.png,Ver ficha técnica,True
coleccion-classic.php,images/Cuadros_cortos_y_largos.png,Colección Classic,True
coleccion-classic.php,images/detalle_de_cuadros.png,Colección Classic,True
