legacy_file,h1,h2,robots,schema,resources
1500-revolving-door.php," [JS: ""Soluciones Industriales""]"," [JS: ""Puerta Holandesa""]",,[],css/business.css | css/custom.css | css/icon.min.css | css/marketing.css | css/responsive.css | css/style.css | css/vendors.min.css | https://fonts.googleapis.com | https://fonts.gstatic.com | https://www.google.com/recaptcha/api.js | https://www.googletagmanager.com/gtag/js?id=G-C5XTMKDPM3 | images/apple-touch-icon-114x114.png | images/apple-touch-icon-57x57.png | images/apple-touch-icon-72x72.png | images/favicon.png | js/jquery.js | js/main.js | js/vendors.min.js
accesorios.php," [JS: ""Soluciones Industriales""]"," [JS: ""Accesorios""]",,[],css/business.css | css/custom.css | css/icon.min.css | css/marketing.css | css/responsive.css | css/style.css | css/vendors.min.css | https://fonts.googleapis.com | https://fonts.gstatic.com | https://www.google.com/recaptcha/api.js | https://www.googletagmanager.com/gtag/js?id=G-C5XTMKDPM3 | images/apple-touch-icon-114x114.png | images/apple-touch-icon-57x57.png | images/apple-touch-icon-72x72.png | images/favicon.png | js/jquery.js | js/main.js | js/vendors.min.js
accesspro-fs1000speed.php," [JS: ""Soluciones Residenciales""]"," [JS: ""AccessPRO FS1000SPEED""]",,[],css/business.css | css/custom.css | css/icon.min.css | css/marketing.css | css/responsive.css | css/style.css | css/vendors.min.css | https://fonts.googleapis.com | https://fonts.gstatic.com | https://www.google.com/recaptcha/api.js | https://www.googletagmanager.com/gtag/js?id=G-C5XTMKDPM3 | images/apple-touch-icon-114x114.png | images/apple-touch-icon-57x57.png | images/apple-touch-icon-72x72.png | images/favicon.png | js/jquery.js | js/main.js | js/vendors.min.js
automatismos-para-cancelas-cubic.php," [JS: ""CUBIC Automatismos ocultos al piso.""]",,,[],css/business.css | css/custom.css | css/icon.min.css | css/marketing.css | css/responsive.css | css/style.css | css/vendors.min.css | https://fonts.googleapis.com | https://fonts.gstatic.com | https://www.google.com/recaptcha/api.js | https://www.googletagmanager.com/gtag/js?id=G-C5XTMKDPM3 | images/apple-touch-icon-114x114.png | images/apple-touch-icon-57x57.png | images/apple-touch-icon-72x72.png | images/favicon.png | js/jquery.js | js/main.js | js/vendors.min.js
barreras-estacionamiento-moovi50rm.php," [JS: ""Productos Marca BFT""]"," [JS: ""Barreras de estacionamiento MOOVI50RM""]",,[],css/business.css | css/custom.css | css/icon.min.css | css/marketing.css | css/responsive.css | css/style.css | css/vendors.min.css | https://fonts.googleapis.com | https://fonts.gstatic.com | https://www.google.com/recaptcha/api.js | https://www.googletagmanager.com/gtag/js?id=G-C5XTMKDPM3 | images/apple-touch-icon-114x114.png | images/apple-touch-icon-57x57.png | images/apple-touch-icon-72x72.png | images/favicon.png | js/jquery.js | js/main.js | js/vendors.min.js
bft-resp.php," [JS: ""Productos""]"," [JS: ""Marca BFT""]",,[],css/business.css | css/custom.css | css/icon.min.css | css/marketing.css | css/responsive.css | css/style.css | css/vendors.min.css | https://fonts.googleapis.com | https://fonts.gstatic.com | https://www.google.com/recaptcha/api.js | https://www.googletagmanager.com/gtag/js?id=G-C5XTMKDPM3 | images/apple-touch-icon-114x114.png | images/apple-touch-icon-57x57.png | images/apple-touch-icon-72x72.png | images/favicon.png | js/jquery.js | js/main.js | js/vendors.min.js
bft.php," [JS: ""Marcas""]"," [JS: ""BTF""]",,[],css/business.css | css/custom.css | css/icon.min.css | css/marketing.css | css/responsive.css | css/style.css | css/vendors.min.css | https://fonts.googleapis.com | https://fonts.gstatic.com | https://www.google.com/recaptcha/api.js | https://www.googletagmanager.com/gtag/js?id=G-C5XTMKDPM3 | images/apple-touch-icon-114x114.png | images/apple-touch-icon-57x57.png | images/apple-touch-icon-72x72.png | images/favicon.png | js/jquery.js | js/main.js | js/vendors.min.js
bix-al-antena-externa-433-mhz.php," [JS: ""Productos Marca BFT""]"," [JS: ""BIX AL – Antena externa 433 MHz""]",,[],css/business.css | css/custom.css | css/icon.min.css | css/marketing.css | css/responsive.css | css/style.css | css/vendors.min.css | https://fonts.googleapis.com | https://fonts.gstatic.com | https://www.google.com/recaptcha/api.js | https://www.googletagmanager.com/gtag/js?id=G-C5XTMKDPM3 | images/apple-touch-icon-114x114.png | images/apple-touch-icon-57x57.png | images/apple-touch-icon-72x72.png | images/favicon.png | js/jquery.js | js/main.js | js/vendors.min.js
blindadas.php," [JS: ""Puertas Blindadas""]"," [JS: ""Puerta blindada""]",,[],css/business.css | css/custom.css | css/icon.min.css | css/marketing.css | css/responsive.css | css/style.css | css/vendors.min.css | https://fonts.googleapis.com | https://fonts.gstatic.com | https://www.google.com/recaptcha/api.js | https://www.googletagmanager.com/gtag/js?id=G-C5XTMKDPM3 | images/apple-touch-icon-114x114.png | images/apple-touch-icon-57x57.png | images/apple-touch-icon-72x72.png | images/favicon.png | js/jquery.js | js/main.js | js/vendors.min.js
blue-giant.php," [JS: ""Marcas""] |  [JS: ""Productos""]"," [JS: ""Blue Giant""] |  [JS: ""Marca BFT""]",,[],css/business.css | css/custom.css | css/icon.min.css | css/marketing.css | css/responsive.css | css/style.css | css/vendors.min.css | https://fonts.googleapis.com | https://fonts.gstatic.com | https://www.google.com/recaptcha/api.js | https://www.googletagmanager.com/gtag/js?id=G-C5XTMKDPM3 | images/apple-touch-icon-114x114.png | images/apple-touch-icon-57x57.png | images/apple-touch-icon-72x72.png | images/favicon.png | js/jquery.js | js/main.js | js/vendors.min.js
