legacy_url,source_type,source_identity,wordpress_object_id,current_url,resolution,confidence,reason,classification,wp_type
https://puertasyserviciosindustriales.com/1500-revolving-door.php,page,php:1500-revolving-door.php,1155,,KEEP_PENDING,CONFIRMED,"EDITORIAL_MAPPING target (static:1500-revolving-door.php) exists but not published (draft); term/product still in review",PRODUCT_PAGE,psi_producto
https://puertasyserviciosindustriales.com/accesorios.php,page,php:accesorios.php,1121,,KEEP_PENDING,CONFIRMED,"EDITORIAL_MAPPING target (sql:productos:27) exists but not published (draft); term/product still in review",PRODUCT_PAGE,psi_producto
https://puertasyserviciosindustriales.com/accesspro-fs1000speed.php,page,php:accesspro-fs1000speed.php,,,KEEP_PENDING,STRONG_INFERENCE,"q01-q04-url-mapping.csv: KEEP_REVIEW, sin propietario aprobado todavía",PRODUCT_PAGE,
https://puertasyserviciosindustriales.com/automatismos-para-cancelas-cubic.php,page,php:automatismos-para-cancelas-cubic.php,133,,KEEP_PENDING,CONFIRMED,"EDITORIAL_MAPPING target (static:automatismos-para-cancelas-cubic.php) exists but not published (draft); term/product still in review",PRODUCT_PAGE,psi_producto
https://puertasyserviciosindustriales.com/back-seccionales.php,page,php:back-seccionales.php,,,INTENTIONALLY_GONE,CONFIRMED,"Clasificación LEGACY_INTERNAL: infraestructura interna del CMS legacy, nunca fue contenido público",LEGACY_INTERNAL,
https://puertasyserviciosindustriales.com/barreras-estacionamiento-moovi50rm.php,page,php:barreras-estacionamiento-moovi50rm.php,,,KEEP_PENDING,STRONG_INFERENCE,"q01-q04-url-mapping.csv: KEEP_REVIEW, sin propietario aprobado todavía",PRODUCT_PAGE,
https://puertasyserviciosindustriales.com/bft-resp.php,page,php:bft-resp.php,,,KEEP_PENDING,CONFIRMED,"q01-q04-url-mapping.csv: KEEP_REVIEW, sin propietario aprobado todavía",BRAND_PAGE,
https://puertasyserviciosindustriales.com/bft.php,page,php:bft.php,261,,KEEP_PENDING,CONFIRMED,"EDITORIAL_MAPPING target (brand:12) exists but not published (review); term/product still in review",BRAND_PAGE,psi_marca
https://puertasyserviciosindustriales.com/bix-al-antena-externa-433-mhz.php,page,php:bix-al-antena-externa-433-mhz.php,1156,,KEEP_PENDING,CONFIRMED,"EDITORIAL_MAPPING target (static:bix-al-antena-externa-433-mhz.php) exists but not published (draft); term/product still in review",PRODUCT_PAGE,psi_producto
https://puertasyserviciosindustriales.com/blindadas.php,page,php:blindadas.php,245,,KEEP_PENDING,CONFIRMED,"EDITORIAL_MAPPING target (category:32) exists but not published (review); term/product still in review",CATEGORY_PAGE,psi_categoria
